Player,For,Against,Result,Date
Eric Cantona,Leeds United,Tottenham Hotspur,,25 August 1992
Mark Robins,Norwich City,Oldham Athletic,,8 November 1992
John Hendrie,Middlesbrough,Blackburn Rovers,,5 December 1992
Andy Sinton,Queens Park Rangers,Everton,,28 December 1992
Brian Deane,Sheffield United,Ipswich Town,,16 January 1993
Teddy Sheringham,Tottenham Hotspur,Ipswich Town,,20 February 1993
Gordon Strachan,Leeds United,Blackburn Rovers,,10 April 1993
Les Ferdinand,Queens Park Rangers,Nottingham Forest,,10 April 1993
Chris Bart-Williams,Sheffield Wednesday,Southampton,,12 April 1993
Les Ferdinand,Queens Park Rangers,Everton,,12 April 1993
Chris Sutton,Norwich City,Leeds United,,14 April 1993
Mark Walters,Liverpool,Coventry City,,17 April 1993
Rod Wallace,Leeds United,Coventry City,,8 May 1993
Matthew Le Tissier,Southampton,Oldham Athletic,,8 May 1993
