Year,Number,Name,Year.1,Number.1,Name.1,Year.2,Number.2,Name.2
,7,Lukin Homphrey Irving (first),,18,Duncan MacPherson,1888.0,4,William Mahlon Davis
,6,Septimus Julius Augustus Denison,1891,10,Victor Brereton Rivers,1892.0,86,Reuben Wells Leonard
,37,E.H. Drury,,15,Francis Joseph Dixon,1897.0,48,A.K. Kirkpatrick
1898.0,57,H.S. Greenwood,1899,14,John Bray Cochrane,1900.0,41,Robert Cartwright
1901.0,154,F.M. Gaudet,1902,47,Ernest Frederick Wurtele,1903.0,21,A.E. Doucet
1904.0,82,Wallace Bruce Matthews Carruthers,1905,188,W.A.H. Kerr,1906.0,186,V.A.S. Williams
1907.0,139,C.R.F. Coutlee,1908,232,John Houlison,1909.0,91,J.D. Gibson
1910.0,63,George Hooper,1911,255,H.A. Panet,1912.0,246,Major-General Sir Henry Edward Burstall
1913.0,268,Henry Robert Visart de Bury et de Bocarme,1914; 1919,299,"Col. Harry J. Lamb DSO, VD",1920.0,293,C.J. Armstrong
,392,W.B. Kingsmill,1923,377,A.C. Caldwell,1924.0,140,G.S. Cartwright
1925.0,499,Edouard de B. Panet,1926,631,A.B. Gillies,1927.0,623,S.B. Coristine
1928.0,555,R.R. Carr-Harris,1929,667,E.G. Hanson,,SUO,G.D. de S. Wotherspoon
,1119,J.H. Price,1932,472,A.R. Chipman,,805,Colin W. G. Gibson
1935.0,727,D.A. White,,877,G.L. Magann,,1003,A.M. Mitchell
,803,J.V. Young,,1141,W.H. O'Reilly,1944.0,698,Everett Bristol
1945.0,982,D.W. MacKeen,1946,1841,D.G. Cunningham,1947.0,1230,S.H. Dobell
1948.0,1855,Ian S. Johnston,1949,1625,J.D. Watt,1950.0,1542,E.W. Crowe
1951.0,1860,Nicol Kingsmill,1952,1828,Ted G.E. Beament,1953.0,1620,R.R. Labatt
1954.0,1766,Ken H. Tremain,1955,1474,de L.H.M Panet,1956.0,2034,Paul Y. Davoud
1957.0,1954,W.P. Carr,1960,1379,H.A. Mackenzie,1961.0,2157,J.H.R. Gagnon
1962.0,2183,James E. Pepall,1963,2336,J.H. Moore,1964.0,2351,Guy Savard
1965.0,2749,James B. Cronyn,1966,2601,J. Fergus Maclaren,1967.0,2791,Jean P.W. Ostiguy
,RCNC90,John F. Frank,,3661,Terry Yates,,5533,Glenn Allen
,3172,Marshall Soule,,3251,Jim Tremain,,2897,Herb Pitts
,5604,Ken Smee,,3010,Peter McLoughlin,,H3356,Robin Cumine
,5244,Tony Downs,,H7543,Senator Joseph A. Day,,5739,Andre Costin
,3550,Murray Johnston,,8813,John D. Gibson,,G0055,Valerie Keyes (first female)
,8833,John Leggat,,5758,Michael Morres,,16461,Ian MacKinnon
,6777,Michel Charron,,7776,Chris Lythgo,,7943,J. William K. Lye
,10080,Robert Booth,,6776,Tim Sparling,,15988,Jeff Kearns
2010.0,16412,Gord Clarke,2011,19307,David Benoit,2012.0,9889,Robert Benn
2013.0,M0058,Marc Drolet (first UTPNCM),,,,,,
