series,years,volumes,writer,editor,remarks
Bruno Brazil,,5,Greg,Magic-Strip,"William Vance drew the comics, Follet provided the page lay-out"
Ivan Zourine,1979,2,Jacques Stoquart,Magic-Strip,
Steve Severin,,9,Jacques Stoquart and Yvan Delporte,Glenat,3 in French - 6 additional in Dutch
L'Iliade,1982,1,Jacques Stoquart,Glenat,Adapted from the Ilias by Homer
Jacques Le Gall,,2,Jean-Michel Charlier,Dupuis,A collaboration with MiTacq
Valhardi,,2,Jacques Stoquart and Andre-Paul Duchâteau,Dupuis,Continuation of the series after Jije and Eddy Paape
Alain Brisant,1985,1,Maurice Tillieux,Dupuis,
Edmund Bell,,4,Jacques Stoquart and Martin Lodewijk,Cl. Lefrancq,Based on the stories by John Flanders (Jean Ray)
Daddy,1991-92,2,Loup Durand,Cl. Lefrancq,
Bob Morane,,3,Henri Vernes,Nautilus and Claude Lefrancq,"Follet drew one story in 2000, and made the cover art for two others (drawn by Gerald Forton)"
Harricana,1992,1,Jean-Claude de la Royere,Claude Lefrancq,"Drawn by Denis Merezette, Follet did the page lay-out"
Marshall Blueberry,1994,1,Jean Giraud,Alpen,"Drawn by William Vance, Follet did the page lay-out"
Ikar,,2,Pierre Makyo,Glenat,
Les autos de l'aventure,,2,De la Royere,Citroën,Promotional comics
Terreur,,2,Andre-Paul Duchâteau,Le Lombard,Fictional biography of Madame Tussaud
Les zingari,,2,Yvan Delporte,Hibou,
Shelena,2005,1,Jeromine Pasteur,Casterman,
L'etoile du soldat,2007,1,Christophe De Ponfilly,Casterman,Announced (28 August 2007)
L'affaire Dominici,2010,1,Pascal Bresson,Glenat,
