Representative,Title,From,To,Appointed by
William Shaler,Special Diplomatic Agent,1810,1812.0,James Madison
John H. Robinson,Special Diplomatic Agent,1812,1814.0,James Madison
Joel Roberts Poinsett,Minister,1825,1829.0,John Quincy Adams
Anthony Butler,Special Diplomatic Agent,1829,,
Anthony Butler,Charge d'Affaires,1829,1835.0,
William A. Slacum,Special Diplomatic Agent,1835,1836.0,Andrew Jackson
Powhatan Ellis,Charge d'Affaires,1836,,Andrew Jackson
Robert Greenhow,Special Diplomatic Agent,1837,,
Powhatan Ellis,Minister,1839,1842.0,Martin Van Buren
Henry E. Lawrence,Special Diplomatic Agent,1842,,John Tyler
"Waddy Thompson, Jr.",Minister,1842,1844.0,John Tyler
Moses Yale Beach,Special Diplomatic Agent,1843,,John Tyler
Gilbert L. Thompson,Special Diplomatic Agent,1844,,John Tyler
Wilson Shannon,Minister,1844,1845.0,John Tyler
John Slidell,Minister,1845,,James K. Polk
David Conner,Special Diplomatic Agent,1846,,James K. Polk
Nathan Clifford,Minister,1848,1849.0,James K. Polk
Robert P. Letcher,Minister,1849,1852.0,
Robert Greenhow,Special Diplomatic Agent,1850,,
George G. Goss,Special Diplomatic Agent,1850,1852.0,
George W. Slacum,Special Diplomatic Agent,1851,,Millard Fillmore
Edward Smith,Special Diplomatic Agent,1852,,Millard Fillmore
Alfred Conkling,Minister,1852,1853.0,Millard Fillmore
George E. Cooper,Special Diplomatic Agent,1853,,
Christopher L. Ward,Special Diplomatic Agent,1853,,
James Gadsden,Minister,1853,1856.0,
Richard S. Spofford,Special Diplomatic Agent,1854,,Franklin Pierce
John Forsyth Jr.,Minister,1856,1858.0,Franklin Pierce
William M. Churchwell,Special Diplomatic Agent,1858,,James Buchanan
Alfred Mordecai,Special Diplomatic Agent,1858,,James Buchanan
Duff Green,Special Diplomatic Agent,1859,,James Buchanan
David R. Porter,Special Diplomatic Agent,1859,,James Buchanan
Robert Milligan McLane,Minister,1859,1860.0,James Buchanan
Henry Roy de la Reintrie,Special Diplomatic Agent,1860,,James Buchanan
John B. Weller,Minister,1860,1861.0,James Buchanan
Thomas Corwin,Minister,1861,1864.0,
Robert W. Shufelt,Special Diplomatic Agent,1862,,Abraham Lincoln
Lewis D. Campbell,Minister,1866,1867.0,Andrew Johnson
Marcus Otterbourg,Minister,1867,,Andrew Johnson
William S. Rosecrans,Minister,1868,1869.0,Andrew Johnson
Thomas H. Nelson,Minister,1869,1873.0,
John W. Foster,Minister,1873,1880.0,Ulysses S. Grant
Philip Hicky Morgan,Minister,1880,1885.0,Rutherford B. Hayes
Henry R. Jackson,Minister,1885,1886.0,
Thomas Courtland Manning,Minister,1886,1887.0,Grover Cleveland
Edward S. Bragg,Minister,1888,1889.0,Grover Cleveland
Thomas Ryan,Minister,1889,1893.0,
Isaac P. Gray,Minister,1893,1895.0,
Matt Whitaker Ransom,Minister,1895,1897.0,Grover Cleveland
Powell Clayton,Minister,1897,1898.0,
