year,site,winning team,losing team
1902,Lawrence,Kansas 16,Kansas State 0
1903,Lawrence,Kansas 34,Kansas State 0
1904,Manhattan,Kansas 41,Kansas State 4
1905,Lawrence,Kansas 28,Kansas State 0
1906,Manhattan,Kansas State 6,Kansas 4
1907,Lawrence,Kansas 29,Kansas State 10
1908,Lawrence,Kansas 12,Kansas State 6
1909,Manhattan,Kansas 5,Kansas State 3
1911,Manhattan,Kansas 6,Kansas State 0
1912,Lawrence,Kansas 19,Kansas State 6
1913,Manhattan,Kansas 26,Kansas State 0
1914,Lawrence,Kansas 27,Kansas State 0
1915,Manhattan,Kansas 19,Kansas State 7
1916,Lawrence,Kansas 0,Kansas State 0
1917,Manhattan,Kansas 9,Kansas State 0
1918,Lawrence,Kansas 13,Kansas State 7
1919,Lawrence,Kansas 16,Kansas State 3
1920,Manhattan,Kansas 14,Kansas State 0
1921,Lawrence,Kansas 21,Kansas State 7
1922,Manhattan,Kansas 7,Kansas State 7
1923,Lawrence,Kansas 0,Kansas State 0
1924,Manhattan,Kansas State 6,Kansas 0
1925,Lawrence,Kansas State 14,Kansas 7
1926,Manhattan,Kansas State 27,Kansas 0
1927,Lawrence,Kansas State 13,Kansas 2
1928,Manhattan,Kansas 7,Kansas State 0
1929,Lawrence,Kansas State 6,Kansas 0
1930,Manhattan,Kansas 14,Kansas State 0
1931,Lawrence,Kansas State 13,Kansas 0
1932,Manhattan,Kansas 19,Kansas State 0
1933,Lawrence,Kansas State 6,Kansas 0
1934,Manhattan,Kansas State 13,Kansas 0
1935,Lawrence,Kansas 9,Kansas State 2
1936,Manhattan,Kansas State 26,Kansas 6
1937,Lawrence,Kansas State 7,Kansas 0
1938,Manhattan,Kansas 27,Kansas State 7
1939,Lawrence,Kansas State 27,Kansas 6
1940,Manhattan,Kansas State 20,Kansas 0
1941,Lawrence,Kansas 20,Kansas State 16
1942,Manhattan,Kansas 19,Kansas State 7
1943,Lawrence,Kansas 25,Kansas State 2
1944,Manhattan,Kansas State 24,Kansas 18
1945,Lawrence,Kansas 27,Kansas State 0
1946,Manhattan,Kansas 34,Kansas State 0
1947,Lawrence,Kansas 55,Kansas State 0
1948,Manhattan,Kansas 20,Kansas State 14
1949,Lawrence,Kansas 38,Kansas State 0
1950,Manhattan,Kansas 47,Kansas State 7
1951,Lawrence,Kansas 33,Kansas State 14
1952,Manhattan,(#9) Kansas 26,Kansas State 6
1953,Lawrence,Kansas State 7,Kansas 0
1954,Manhattan,Kansas State 28,Kansas 6
1955,Lawrence,Kansas State 46,Kansas 0
1956,Manhattan,Kansas 20,Kansas State 15
1957,Lawrence,Kansas 13,Kansas State 7
1958,Manhattan,Kansas 21,Kansas State 12
1959,Lawrence,Kansas 33,Kansas State 14
1960,Manhattan,Kansas 41,Kansas State 0
1961,Lawrence,Kansas 34,Kansas State 0
1962,Manhattan,Kansas 38,Kansas State 0
1963,Lawrence,Kansas 34,Kansas State 0
1964,Manhattan,Kansas 7,Kansas State 0
1965,Lawrence,Kansas 34,Kansas State 0
1966,Manhattan,Kansas 3,Kansas State 3
1967,Lawrence,Kansas 17,Kansas State 16
1968,Manhattan,(#7) Kansas 38,Kansas State 29
