rank,cyclist,team,time,uci protour points
1,Alejandro Valverde (ESP),Caisse d'Epargne,"5h 29' 10\"",40""",
2,Alexandr Kolobnev (RUS),Team CSC Saxo Bank,s.t.,30.0
3,Davide Rebellin (ITA),Gerolsteiner,s.t.,25.0
4,Paolo Bettini (ITA),Quick Step,s.t.,20.0
5,Franco Pellizotti (ITA),Liquigas,s.t.,15.0
6,Denis Menchov (RUS),Rabobank,s.t.,11.0
7,Samuel Sánchez (ESP),Euskaltel-Euskadi,s.t.,7.0
8,Stephane Goubert (FRA),Ag2r-La Mondiale,"+ 2\"",5""",
9,Haimar Zubeldia (ESP),Euskaltel-Euskadi,"+ 2\"",3""",
10,David Moncoutie (FRA),Cofidis,"+ 2\"",1""",
