Round,Date,Home/Away,Opponent team,Score,Scorers
1,"August 24, 2008",Away,KS Vllaznia Shkodër,,
2,"August 30, 2008",Away,KS Teuta Durrës,,"Migen Memelli  42',"
3,"September 14, 2008",Home,KF Partizani Tirana,,"Daniel Xhafa  20', Andi Lila  90'"
4,"September 20, 2008",Away,KS Apolonia Fier,,"Andi Lila  28', Migen Memelli  32'"
5,"September 27, 2008",Home,KS Flamurtari Vlorë,,Migen Memelli  17'  57'  61'
6,"October 4, 2008",Away,KS Bylis Ballsh,,
7,"October 19, 2008",Home,KS Dinamo Tirana,,"Migen Memelli  32', Gjergji Muzaka  51'"
8,"October 25, 2008",Away,KS Shkumbini Peqin,,
9,"November 2, 2008",Home,KS Besa Kavaje,,"Jetmir Sefa  63',"
10,"November 9, 2008",Away,KS Elbasani,,
11,"November 15, 2008",Home,KS Lushnja,,Laert Ndoni (O.G)  13'
12,"November 23, 2008",Home,KS Vllaznia Shkoder,,Bledar Devolli  79'
13,"November 29, 2008",Home,KS Teuta Durres,,Jetmir Sefa  77'
14,"December 7, 2008",Away,KF Partizani Tirana,,"Jetmir Sefa  2', Migen Memelli  82'"
15,"December 13, 2008",Home,KS Apolonia Fier,,"Daniel Xhafa  37'  48', Andi Lila  64'"
16,"December 21, 2008",Away,KS Flamurtari Vlorë,,
17,"December 27, 2008",Home,KS Bylis Ballsh,,"Pedro Neves (O.G)  2', Migen Memelli  4'  35'  57', Gjergji Muzaka  13', Daniel Xhafa  32'"
18,"January 31, 2009",Away,KS Dinamo Tirana,,"Migen Memelli  8'  77', Ansi Agolli  58', Daniel Xhafa  88'"
19,"February 5, 2009",Home,KS Shkumbini Peqin,,"Andi Lila  27', Ansi Agolli  70'"
20,"February 15, 2009",Away,KS Besa Kavaje,,"Daniel Xhafa  29', Ansi Agolli  53', Migen Memelli  73'"
21,"February 21, 2009",Home,KS Elbasani,,
22,"March 1, 2009",Away,KS Lushnja,,
23,"March 7, 2009",Home,KS Lushnja,,"Migen Memelli  22', Devis Mukaj  64'"
24,"March 15, 2009",Away,KS Bylis Ballsh,,
25,"March 21, 2009",Home,Apolonia Fier,,"Bledar Devolli  32', Devis Mukaj  75'"
26,"April 5, 2009",Away,Flamurtari Vlore,,Migen Memelli  1'  37'
27,"April 11, 2009",Home,KF Elbasani,,"Daniel Xhafa  51', Devis Mukaj  77', Migen Memelli  86'"
28,"April 18, 2009",Away,Partizani Tirana,,Daniel Xhafa  56'  87'
29,"April 25, 2009",Home,KS Teuta Durres,,"Migen Memelli  5'  74', Daniel Xhafa  41', Ansi Agolli  83'"
30,"May 2, 2009",Away,KS Besa Kavaje,,Migen Memelli  20'
31,"May 9, 2009",Home,KS Shkumbini Peqin,,"Ahmed Mujdragic (O.G)  18', Gjergji Muzaka  27', Migen Memelli  31'"
32,"May 16, 2009",Away,Dinamo Tirana,,"Ansi Agolli  12', Sabien Lila  40', Ergys Sorra  73'"
33,"May 23, 2009",Home,KS Vllaznia Shkoder,,"Devis Mukaj  2', Migen Memelli  30'"
