season,age,overall,slalom,giant slalom,super g,downhill,combined
2007,20,130,,40.0,,,
2008,21,64,,28.0,46.0,46.0,31.0
2009,22,7,,6.0,16.0,16.0,1.0
2010,23,1,,2.0,6.0,2.0,2.0
2011,24,3,,5.0,6.0,9.0,6.0
2012,25,24,,16.0,28.0,17.0,19.0
2013,26,48,,48.0,27.0,38.0,4.0
2014,27,18,,25.0,14.0,20.0,11.0
Season,Date,Location,Race,,,,
2009,13 Dec 2008,"Val d'Isere, France",Giant slalom,,,,
2009,16 Jan 2009,"Wengen, Switzerland",Super Combined,,,,
2010,4 Dec 2009,"Beaver Creek, USA",Super Combined,,,,
2010,5 Dec 2009,"Beaver Creek, USA",Downhill,,,,
2010,6 Dec 2009,"Beaver Creek, USA",Giant Slalom,,,,
2010,16 Jan 2010,"Wengen, Switzerland",Downhill,,,,
2010,10 Mar 2010,"Garmisch, Germany",Downhill,,,,
2010,12 Mar 2010,"Garmisch, Germany",Giant Slalom,,,,
2011,5 Mar 2011,"Kranjska Gora, Slovenia",Giant Slalom,,,,
