rank,diver,preliminary points,preliminary rank,final points,final rank,final total
,Ingrid Krämer (EUA),56.3,1,34.98,2.0,91.28
,Paula Jean Myers-Pope (USA),54.7,2,35.24,1.0,89.94
,Ninel Krutova (URS),53.38,3,33.61,3.0,86.99
4.0,Juno Stover-Irwin (USA),51.9,6,31.69,4.0,83.59
5.0,Raisa Gorokhovskaya (URS),51.53,8,31.5,5.0,83.03
6.0,Norma Thomas (GBR),51.77,7,30.44,7.0,82.21
7.0,Nicolle Darrigrand-Pellissard (FRA),49.68,12,31.5,5.0,81.18
8.0,Phyllis Long (GBR),52.12,5,28.86,9.0,80.98
9.0,Irene MacDonald (CAN),51.31,9,29.18,8.0,80.49
10.0,Kumiko Watanabe (JPN),51.04,10,28.56,10.0,79.6
11.0,Kanoko Tsutani-Mabuchi (JPN),49.76,11,28.14,11.0,77.9
12.0,Birte Christoffersen-Hanson (SWE),53.03,4,24.4,12.0,77.43
13.0,Maria Teresa Adames (MEX),49.54,13,,,
14.0,Hanna Laursen (DEN),48.89,14,,,
15.0,Gabriele Schöpe (EUA),48.81,15,,,
16.0,Bende Velin (DEN),48.35,16,,,
17.0,Laura Conter (ITA),45.55,17,,,
18.0,Susan Knight (AUS),43.03,18,,,
