Rank,Census subdivision,Province,Type,"Land area (km2, 2011)",Population 2011,Population 2006,Population 2001,Population 1996,Change in percentage 2006-2011,Change in percentage 1996-2011
1,Toronto,Ontario,city,630.21,2615060,2503281,2481494,2385421,4.5,9.6
2,Montreal,Quebec,ville,365.13,1649519,1620693,1583590,1547030,1.8,6.6
3,Calgary,Alberta,city,825.29,1096833,988193,879003,768082,10.9,42.7
4,Ottawa,Ontario,city,"2,790.22",883391,812129,774072,721136,8.8,22.5
5,Edmonton,Alberta,city,684.37,812201,730372,666104,616306,11.2,31.8
6,Mississauga,Ontario,city,292.40,713443,668549,612000,544382,6.7,31.1
7,Winnipeg,Manitoba,city,464.08,663617,633451,619544,618477,4.8,7.3
8,Vancouver,British Columbia,city,114.97,603502,578041,545671,514008,4.4,17.3
9,Brampton,Ontario,city,266.34,523911,433806,325428,268251,20.8,95.1
10,Hamilton,Ontario,city,"1,117.23",519949,504559,490268,467799,3.1,11.1
11,Quebec City,Quebec,ville,454.10,516622,491142,476330,467728,5.2,10.5
12,Surrey,British Columbia,city,316.41,468251,394976,347820,304477,18.6,53.9
13,Laval,Quebec,ville,247.09,401553,368709,343005,330393,8.9,21.5
14,Halifax,Nova Scotia,regional municipality,"5,490.28",390096,372679,359111,342851,4.7,14.1
15,London,Ontario,city,420.57,366151,352395,336539,325669,3.9,12.6
16,Markham,Ontario,city,212.58,301709,261573,208615,173383,15.3,74.0
17,Vaughan,Ontario,city,273.52,288301,238866,182022,132549,20.7,118.2
18,Gatineau,Quebec,ville,342.98,265349,242124,226696,217591,9.6,22.1
19,Longueuil,Quebec,ville,115.59,231409,229330,225761,225722,0.9,2.7
20,Burnaby,British Columbia,city,90.61,223218,202799,193954,179209,10.1,24.6
21,Saskatoon,Saskatchewan,city,209.56,222189,202340,196861,193653,9.8,15.0
22,Kitchener,Ontario,city,136.79,219153,204668,190399,178420,7.1,22.3
23,Windsor,Ontario,city,146.32,210891,216473,209218,197694,-2.6,6.6
24,Regina,Saskatchewan,city,145.45,193100,179246,178225,180404,7.7,7.2
25,Richmond,British Columbia,city,129.27,190473,174461,164345,148867,9.2,28.4
26,Richmond Hill,Ontario,town,100.95,185541,162704,132030,101725,14.0,83.1
27,Oakville,Ontario,town,138.88,182520,165613,144738,128405,10.2,42.2
28,Burlington,Ontario,city,185.66,175779,164415,150836,136976,6.9,28.7
29,Greater Sudbury,Ontario,city,"3,227.38",160274,157857,155219,165336,1.5,-3.2
30,Sherbrooke,Quebec,ville,353.49,154601,147427,138785,136883,4.9,13.2
31,Oshawa,Ontario,city,145.68,149607,141590,139051,134464,5.7,11.1
32,Saguenay,Quebec,ville,"1,126.48",144746,143692,147133,152811,0.7,-5.2
33,Levis,Quebec,ville,449.31,138769,130006,121999,103750,6.7,33.9
34,Barrie,Ontario,city,77.39,135711,128430,103710,79191,5.7,70.9
35,Abbotsford,British Columbia,city,375.55,133497,123864,115494,105403,7.4,26.7
36,St. Catharines,Ontario,city,96.11,131400,131989,129170,130926,-0.4,0.4
37,Trois-Rivieres,Quebec,ville,288.90,131338,126323,122395,124417,4.0,5.6
38,Cambridge,Ontario,city,113.00,126748,120371,110372,101429,5.3,24.6
39,Coquitlam,British Columbia,city,122.30,126456,114565,112890,101820,10.4,24.8
