represented,contestant,age,height,hometown
Azua,Alicia Fernández de la Cruz,23,1.69,Santo Domingo
Barahona,Lucia Magdalena Alvarado Suarez,20,1.71,Santo Domingo
Com. Dom. EU,Sandra Elisabeth Tavares Ruiz,19,1.8,Newark
Distrito Nacional,Aimee Elaine Melo Hernández,23,1.73,Santo Domingo
Duarte,Paola Saint-Hilaire Arias,20,1.79,Santiago de los Caballeros
Espaillat,Angela Maria Garcia Ruiz,26,1.77,Moca
Independencia,Joany Marleny Sosa Peralta,20,1.82,Jimani
La Altagracia,Ana Carolina Vinas Machado,22,1.84,Santiago de los Caballeros
La Romana,Alina Charlin Espinal Luna,19,1.81,La Romana
La Vega,Catherine Mabel Ramirez Rosario,21,1.83,Santiago de los Caballeros
Monte Cristi,Grace Stephany Mota Grisanty,18,1.75,San Fernando de Monte Cristi
Peravia,Mariela Joselin Rosario Jimenez,25,1.86,Santo Domingo
Puerto Plata,Sheila Massiel Castillo Dominguez,18,1.83,Altamira
Salcedo,Rossemely Cruz Logrono,26,1.76,Salcedo
San Cristobal,Daniela Teresa Peguero Brito,24,1.74,Santo Domingo
Santiago,Karina Luisa Betances Cabrera,21,1.8,Santiago de los Caballeros
Santo Domingo,Yisney Lina Lagrange Mendez,19,1.82,Pedro Brand
Valverde,Fania Miguelina Marte Lozada,22,1.73,Mao
