place,shooter,5 pts,4 pts,3 pts,2 pts,1 pts,0 pts,total,rank
1.0,Norway (NOR),12,16,12,-,-,-,160,
1.0,Ole Lilloe-Olsen,4,5,1,-,-,-,43,1.0
1.0,Einar Liberg,5,2,3,-,-,-,42,2.0
1.0,Harald Natvig,2,4,4,-,-,-,38,8.0
1.0,Otto Olsen,1,5,4,-,-,-,37,11.0
2.0,Sweden (SWE),8,19,12,1,-,-,154,
2.0,Alfred Swahn,3,4,3,-,-,-,40,5.0
2.0,Fredric Landelius,2,5,3,-,-,-,39,7.0
2.0,Otto Hultberg,1,6,3,-,-,-,38,8.0
2.0,Mauritz Johansson,2,4,3,1,-,-,37,11.0
3.0,United States (USA),7,17,13,3,-,-,148,
3.0,John Boles,3,5,2,-,-,-,41,3.0
3.0,Walter Stokes,1,6,3,-,-,-,38,8.0
3.0,Raymond Coulter,2,4,3,1,-,-,37,11.0
3.0,Dennis Fenton,1,2,5,2,-,-,32,16.0
4.0,Great Britain (GBR),8,9,18,3,-,2,136,
4.0,Cyril Mackworth-Praed,6,-,3,1,-,-,41,3.0
4.0,Alexander Rogers,1,2,5,2,-,-,32,16.0
4.0,John Faunthorpe,-,5,4,-,-,1,32,16.0
4.0,John O'Leary,1,2,6,-,-,1,31,19.0
5.0,Finland (FIN),7,10,15,5,-,3,130,
5.0,Karl Magnus Wegelius,2,6,2,-,-,-,40,5.0
5.0,Martti Liuttula,3,2,3,2,-,-,36,14.0
5.0,Jalo Autonen,1,1,5,2,-,1,28,21.0
5.0,Toivo Tikkanen,1,1,5,1,-,2,26,22.0
6.0,Hungary (HUN),1,8,17,4,1,9,97,
6.0,Gusztáv Szomjas,-,4,4,1,-,1,30,20.0
6.0,Rezső Velez,-,1,5,2,-,2,23,23.0
6.0,Elemer Takács,1,2,3,-,1,3,23,23.0
6.0,Lászlo Szomjas,-,1,5,1,-,3,21,25.0
,Czechoslovakia (TCH),1,2,6,1,-,-,33,
,Miloslav Hlaváč,1,2,6,1,-,-,33,15.0
