rank,city,population (2011),population (2001),state/territory
1,Mumbai,12478447,11978450,Maharashtra
2,Delhi,11007835,9879172,Delhi
3,Bangalore,8425970,5438065,Karnataka
4,Hyderabad,6809970,3637483,Andhra Pradesh
5,Ahmedabad,5570585,3520085,Gujarat
6,Chennai,4681087,4343645,Tamil Nadu
7,Kolkata,4486679,4572876,West Bengal
8,Surat,4462002,2433835,Gujarat
9,Pune,3115431,2538473,Maharashtra
10,Jaipur,3073350,2322575,Rajasthan
11,Lucknow,2815601,2185927,Uttar Pradesh
12,Kanpur,2767031,2551337,Uttar Pradesh
13,Nagpur,2405421,2052066,Maharashtra
14,Indore,1960631,1474968,Madhya Pradesh
15,Thane,1818872,1262551,Maharashtra
16,Bhopal,1795648,1437354,Madhya Pradesh
17,Visakhapatnam,1730320,982904,Andhra Pradesh
18,Pimpri-Chinchwad,1729359,1012472,Maharashtra
19,Patna,1683200,1366444,Bihar
20,Vadodara,1666703,1306227,Gujarat
21,Ghaziabad,1636068,968256,Uttar Pradesh
22,Ludhiana,1613878,1398467,Punjab
23,Agra,1574542,1275134,Uttar Pradesh
24,Nashik,1486973,1077236,Maharashtra
25,Faridabad,1404653,1055938,Haryana
26,Meerut,1309023,1068772,Uttar Pradesh
27,Rajkot,1286995,967476,Gujarat
28,Kalyan-Dombivali,1246381,1193512,Maharashtra
29,Vasai-Virar,1221233,Not Available,Maharashtra
30,Varanasi,1201815,"1,091,918",Uttar Pradesh
31,Srinagar,1192792,"898,440",Jammu and Kashmir
32,Aurangabad,1171330,"873,311",Maharashtra
33,Dhanbad,1161561,"99,258",Jharkhand
34,Amritsar,1132761,"966,862",Punjab
35,Navi Mumbai,1119477,"704,002",Maharashtra
36,Allahabad,1117094,"975,393",Uttar Pradesh
37,Ranchi,1073440,"847,093",Jharkhand
38,Howrah,1072161,"1,007,532",West Bengal
39,Coimbatore,1061447,"930,882",Tamil Nadu
40,Jabalpur,1054336,"932,484",Madhya Pradesh
41,Gwalior,1053505,"827,026",Madhya Pradesh
42,Vijayawada,1048240,"851,282",Andhra Pradesh
43,Jodhpur,1033918,"851,051",Rajasthan
44,Madurai,1016885,"928,869",Tamil Nadu
45,Raipur,1010087,"605,747",Chhattisgarh
46,Kota,1001365,"694,316",Rajasthan
47,Guwahati,963429,"809,895",Assam
48,Chandigarh,960787,"808,515",Chandigarh
49,Solapur,951118,"872,478",Maharashtra
50,Hubballi-Dharwad,943857,"786,195",Karnataka
51,Bareilly,898167,"718,395",Uttar Pradesh
52,Moradabad,889810,"641,583",Uttar Pradesh
53,Mysore,887446,"755,379",Karnataka
54,Gurgaon,876824,"173,542",Haryana
55,Aligarh,872575,"669,087",Uttar Pradesh
56,Jalandhar,862196,"706,043",Punjab
57,Tiruchirappalli,846915,"752,066",Tamil Nadu
58,Bhubaneswar,837737,"648,032",Orissa
59,Salem,831038,"696,760",Tamil Nadu
60,Mira-Bhayandar,814655,"520,388",Maharashtra
61,Trivandrum (Thiruvananthapuram),752490,"744,983",Kerala
62,Bhiwandi,711329,"598,741",Maharashtra
63,Saharanpur,703345,"455,754",Uttar Pradesh
64,Gorakhpur,671048,"622,701",Uttar Pradesh
65,Guntur,651382,"514,461",Andhra Pradesh
66,Bikaner,647804,"529,690",Rajasthan
67,Amravati,646801,"549,510",Maharashtra
68,Noida,642381,"305,058",Uttar Pradesh
69,Jamshedpur,629659,"573,096",Jharkhand
70,Bhilai,625697,"556,366",Chhattisgarh
71,Warangal,620116,"530,636",Andhra Pradesh
72,Mangalore,619664,"399,565",Karnataka
73,Cuttack,606007,"534,654",Orissa
74,Firozabad,603797,"279,102",Uttar Pradesh
75,Kochi (Cochin),601574,"596,473",Kerala
76,Bhavnagar,593768,"511,085",Gujarat
77,Dehradun,578420,"426,674",Uttarakhand
78,Durgapur,566937,"493,405",West Bengal
79,Asansol,564491,"475,439",West Bengal
80,Nanded,550564,"430,733",Maharashtra
81,Kolhapur,549283,"493,167",Maharashtra
82,Ajmer,542580,"485,575",Rajasthan
83,Gulbarga,532031,"422,569",Karnataka
84,Jamnagar,529308,"443,518",Gujarat
85,Ujjain,515215,"430,427",Madhya Pradesh
86,Loni,512296,"120,945",Uttar Pradesh
87,Siliguri,509709,"472,374",West Bengal
88,Jhansi,507293,"383,644",Uttar Pradesh
89,Ulhasnagar,506937,"473,731",Maharashtra
90,Nellore,505258,"378,428",Andhra Pradesh
91,Jammu,503690,"369,959",Jammu and Kashmir
92,Sangli-Miraj & Kupwad,502697,"436,781",Maharashtra
93,Belgaum,488292,"399,653",Karnataka
94,Ambattur,478134,"310,967",Tamil Nadu
95,Tirunelveli,474838,"411,831",Tamil Nadu
96,Malegaon,471006,"409,403",Maharashtra
97,Gaya,463454,"385,432",Bihar
98,Jalgaon,460468,"368,618",Maharashtra
99,Udaipur,451735,"389,438",Rajasthan
100,Maheshtala,449423,"385,266",West Bengal
101,Tirupur,444543,"344,543",Tamil Nadu
102,Davanagere,435128,"364,523",Karnataka
103,Kozhikode (Calicut),432097,"436,556",Kerala
104,Akola,427146,"400,520",Maharashtra
105,Kurnool,424920,"269,122",Andhra Pradesh
106,Rajpur Sonarpur,423806,"336,707",West Bengal
107,Bokaro,413934,"393,805",Jharkhand
108,South Dumdum,410524,"392,444",West Bengal
109,Bellary,409644,"316,766",Karnataka
110,Patiala,405164,"303,151",Punjab
111,Gopalpur,404991,"271,811",West Bengal
112,Agartala,399688,"271,811",Tripura
113,Bhagalpur,398138,"340,767",Bihar
114,Muzaffarnagar,392451,"316,729",Uttar Pradesh
115,Bhatpara,390467,"442,385",West Bengal
116,Panihati,383522,"348,438",West Bengal
117,Latur,382754,"299,985",Maharashtra
118,Dhule,376093,"341,755",Maharashtra
119,Rohtak,373133,"286,807",Haryana
120,Korba,363210,"315,690",Chhattisgarh
121,Bhilwara,360009,"280,128",Rajasthan
122,Brahmapur,355823,"307,792",Orissa
123,Muzaffarpur,351838,"305,525",Bihar
124,Ahmednagar,350905,"307,615",Maharashtra
125,Mathura,349336,"302,770",Uttar Pradesh
126,Kollam (Quilon),349033,"361,560",Kerala
127,Avadi,344701,"229,403",Tamil Nadu
128,Rajahmundry,343903,"315,251",Andhra Pradesh
129,Kadapa,341823,"125,725",Andhra Pradesh
130,Kamarhati,336579,"314,507",West Bengal
131,Bilaspur,330106,"274,917",Chhattisgarh
132,Shahjahanpur,327975,"296,662",Uttar Pradesh
133,Bijapur,326360,"228,175",Karnataka
134,Rampur,325248,"281,494",Uttar Pradesh
135,Shivamogga (Shimoga),322428,"274,352",Karnataka
136,Chandrapur,321036,"289,450",Maharashtra
137,Junagadh,320250,"168,686",Gujarat
138,Thrissur,315596,"317,526",Kerala
139,Alwar,315310,"260,593",Rajasthan
140,Bardhaman,314638,"285,602",West Bengal
141,Kulti,313977,"289,903",West Bengal
142,Kakinada,312255,"296,329",Andhra Pradesh
143,Nizamabad,310467,"288,722",Andhra Pradesh
144,Parbhani,307191,"259,329",Maharashtra
145,Tumkur,305821,"248,929",Karnataka
146,Hisar,301249,"256,689",Haryana
147,Ozhukarai,300028,"217,707",Puducherry
148,Bihar Sharif,296889,"232,071",Bihar
149,Panipat,294150,"261,740",Haryana
150,Darbhanga,294116,"267,348",Bihar
151,Bally,291972,"260,906",West Bengal
152,Aizawl,291822,"228,280",Mizoram
153,Dewas,289438,"231,672",Madhya Pradesh
154,Ichalkaranji,287570,"257,610",Maharashtra
155,Tirupati,287035,"228,202",Andhra Pradesh
156,Karnal,286974,"210,476",Haryana
157,Bathinda,285813,"217,256",Punjab
158,Jalna,285349,"235,795",Maharashtra
159,Barasat,283443,"231,515",West Bengal
160,Kirari Suleman Nagar,282598,"153,874",Delhi
161,Purnia,280547,"171,687",Bihar
162,Satna,280248,"225,464",Madhya Pradesh
163,Mau,279060,"212,657",Uttar Pradesh
164,Sonipat,277053,"214,974",Haryana
165,Farrukhabad,275750,"228,333",Uttar Pradesh
166,Sagar,273357,"232,133",Madhya Pradesh
167,Rourkela,273217,"224,601",Orissa
168,Durg,268679,"232,517",Chhattisgarh
169,Imphal,264986,"221,492",Manipur
170,Ratlam,264810,"222,202",Madhya Pradesh
171,Hapur,262801,"211,983",Uttar Pradesh
172,Anantapur,262340,"218,808",Andhra Pradesh
173,Arrah,261099,"203,380",Bihar
174,Karimnagar,260899,"205,653",Andhra Pradesh
175,Etawah,256790,"210,453",Uttar Pradesh
176,Ambernath,254003,"203,795",Maharashtra
177,North Dumdum,253625,"220,042",West Bengal
178,Bharatpur,252109,"204,587",Rajasthan
179,Begusarai,251136,"93,378",Bihar
180,New Delhi,249998,"302,147",Delhi
181,Gandhidham,248705,"166,388",Gujarat
182,Baranagar,248466,"250,768",West Bengal
183,Tiruvottiyur,248059,"212,281",Tamil Nadu
184,Puducherry,241773,"220,749",Puducherry
185,Sikar,237579,"184,904",Rajasthan
186,Thoothukudi,237374,"216,058",Tamil Nadu
187,Rewa,235422,"183,274",Madhya Pradesh
188,Mirzapur,233691,"205,053",Uttar Pradesh
189,Raichur,232456,"207,421",Karnataka
190,Pali,229956,"187,641",Rajasthan
191,Ramagundam,229632,"236,600",Andhra Pradesh
192,Vizianagaram,227533,"174,324",Andhra Pradesh
