Year,Single,US Cashbox,US Hot 100,UK Singles
1969,"\Rock & Roll Holiday\""""",,,
1970,"\Be-Bop Confidential\""""",,,
1971,"\Roadrunner\""""",,,
1971,"\That's Fine\""""",,,
1972,"\The Red Back Spider\""""",85.0,96.0,
1973,"\Let Your Yeah Be Yeah\""""",60.0,57.0,52.0
1973,"\Smokin' in the Boys Room\""""",2.0,3.0,27.0
1974,"\I'm The Leader Of The Gang\""""",26.0,48.0,
1974,"\Kings Of The Party\""""",31.0,31.0,
1974,"\I Got It Bad For You\""""",,,
1977,"\Lady (Put The Light On Me)\""""",44.0,46.0,
1977,"\The Martian Boogie\""""",45.0,59.0,
1979,"\Love Stealer\""""",,,
