num,Name (Birth-Death),Took office,Left office,Monarch,Prime Minister
1,,31 May 1910,8 September 1914,George V,Botha
2,,8 September 1914,17 November 1920,George V,Botha
3,,17 November 1920,21 January 1924,George V,Smuts
4,,21 January 1924,26 January 1931,George V,Smuts
5,,26 January 1931,5 April 1937,George V,Hertzog
6,,5 April 1937,17 July 1943,George VI,Hertzog
—,,17 July 1943,1 January 1946,George VI,Smuts
7,,1 January 1946,1 January 1951,George VI,Smuts
8,,1 January 1951,25 November 1959,George VI,Malan
—,,26 November 1959,11 December 1959,Elizabeth II,Verwoerd
9,,11 December 1959,30 April 1961,Elizabeth II,Verwoerd
—,,30 April 1961,31 May 1961,Elizabeth II,Verwoerd
