0,polo,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
1,əsad,11,samsad,21,darwamsad,31,tolomsad,41,pamsad,51,limamsad,61,nəmsad,71,pitomsad,81,walomsad,91,yamsad
2,darwā,12,samdarwā,22,darwamdarwā,32,tolomdarwā,42,pamdarwā,52,limamdarwā,62,nəmdarwā,72,pitomdarwā,82,walomdarwā,92,yamdarwā
3,tolo,13,samtolo,23,darwamtolo,33,tolomtolo,43,pamtolo,53,limamtolo,63,nəmtolo,73,pitomtolo,83,walomtolo,93,yamtolo
4,əpat,14,sampat,24,darwampat,34,tolompat,44,pampat,54,limampat,64,nəmpat,74,pitompat,84,walompat,94,yampat
5,limā,15,samlimā,25,darwamlimā,35,tolomlimā,45,pamlimā,55,limamlimā,65,nəmlimā,75,pitomlimā,85,walomlimā,95,yamlimā
6,ənəm,16,samnəm,26,darwamnəm,36,tolomnəm,46,pamnəm,56,limamnəm,66,nəmnəm,76,pitomnəm,86,walomnəm,96,yamnəm
7,pito,17,sampito,27,darwampito,37,tolompito,47,pampito,57,limampito,67,nəmpito,77,pitompito,87,walompito,97,yampito
8,walo,18,samwalo,28,darwamwalo,38,tolomwalo,48,pamwalo,58,limamwalo,68,nəmwalo,78,pitomwalo,88,walomwalo,98,yamwalo
9,siyam,19,samsiyam,29,darwamsiyam,39,tolomsiyam,49,pamsiyam,59,limamsiyam,69,nəmsiyam,79,pitomsiyam,89,walomsiyam,99,yamsiyam
10,sampolo,20,darwampolo,30,tolompolo,40,pampolo,50,limampolo,60,nəmpolo,70,pitompolo,80,walompolo,90,yampolo,100,saŋgatos
