Year,Democratic Party,Republican Party,Independent / Other,Majority
1865.0,0,0,124,124
1868.0,14,110,0,96
1870.0,0,100,24(a),76
1872.0,22,102,0,80
1874.0,0,91,33(b),58
1876.0,64,60,0,4
1878.0,121,3,0,118
1880.0,120,4,0,116
,124,0,0,124
1964.0,123,1,0,122
1966.0,107,17,0,90
1968.0,119,5,0,114
1970.0,115,9,0,109
1972.0,107,17,0,90
1974.0,110,14,0,96
1976.0,114,10,0,104
1978.0,111,13,0,98
1980.0,110,14,0,96
1982.0,108,16,0,92
1984.0,102,22,0,80
1986.0,98,26,0,72
1988.0,94,30,0,64
1990.0,89,35,0,54
1992.0,84,40,0,44
1994.0,72,52,0,20
1996.0,54,70,0,16
1998.0,58,66,0,12
2000.0,55,69,0,14
2002.0,51,73,0,22
2004.0,50,74,0,24
2006.0,51,73,0,22
2008.0,52,72,0,20
2010.0,47,76,0,29
2012.0,45,78,0,30
