Name,Animal Type,Introduced,Reintroduced,Retired,Beanie Baby Resembled
Antlers,Moose,,1999 (neon),1999.0,Chocolate
Baba,Lamb,,1999 (neon),1999.0,Fleece
Bruiser,Bulldog,1997.0,,,Wrinkles
Carrots,Bunny,,1999 (neon),1999.0,"Ears, but pink instead of brown"
Chewy,,,1999 (neon),1999.0,
Clover,Bunny,1998.0,,,"Ears, but white instead of brown"
Foxy,Fox,,,,Sly
Glide,Porpoise,,,,Echo the Dolphin
Huggy,Bear,1995.0,1999 (neon),1999.0,"Cubbie, but yellow instead of brown"
Meow,Cat,1997.0,1999 (neon),1999.0,Snip
Moo,Cow,1995.0,,,"Daisy, but with white body instead of black"
Oink,Pig,1995.0,,,Squealer
Paddles,Platypus,,1999 (neon),1999.0,Patti
Purr,Tiger,,,,"Stripes, but yellow-orange instead of orange-black"
Red,Bull,,,,Snort
Ribbit (All-Green),Frog,1995.0,1999 (neon),1999.0,Legs
Ribbit (Green-Yellow),Frog,,,,Smoochy
Sherbert,Tie-Dye Bear,1998.0,1999 (neon),1999.0,Sammy
Snap (All-Yellow),Turtle,1995.0,,,"Speedy, but yellow instead of green"
Snap (Yellow-Green),Turtle,,1999 (neon),,Peekaboo
Snuggy,Bear,1995.0,,,"Cubbie, but pink instead of brown"
Sparkler,Bear,,,1999.0,Spangle
Speckles,Leopard,,,,Freckles
Spotty,Dalmatian,,,,Dotty
Squirt,Elephant,,1999 (neon),1999.0,Peanut
Swinger,Monkey,,1999 (neon),1999.0,Bongo
Tide,Whale,,,,Splash
Tubby,Hippopotamus,,,,Happy
Woof,Dog,1995.0,1999 (neon),1999.0,Bones
Zulu,Zebra,,,,"Ziggy, but pink-green instead of black-white"
