Rank,Area,State/ Province,CSA/CMA 2009 population,Projected 2025 population,Projected increase 2009-2025
1,Chicago,IL-IN-WI,9804845,10935100.0,1130255
2,Toronto,ON,5741400,7408000.0,1666600
3,Detroit,MI,5327764,6191000.0,863236
4,Cleveland,OH,2891988,3172000.0,280012
5,Milwaukee,WI,1760268,1913000.0,157732
6,,ON-QC,1451415,1596556.0,145141
7,Grand Rapids,MI,1327366,1530000.0,202634
8,Buffalo,NY,1203493,1040400.0,"-163,093"
9,Rochester,NY,1149653,1248600.0,"98,947"
10,Hamilton,ON,740200,954858.0,"214,658"
11,Toledo,OH,672220,672220.0,0
12,Lansing,MI,523609,547325.0,"23,716"
13,,ON,492400,635196.0,"142,796"
14,London,ON,492200,634938.0,"142,738"
15,Fort Wayne,IN,414315,455623.0,"39,366"
16,,ON,404400,521676.0,"117,276"
17,Windsor,ON,330900,426861.0,"95,961"
18,Erie,PA,280985,,
