Rank,Bib,Athlete,Country,Time,Deficit,Note
1.0,30,Marit Bjørgen,Norway,3:03.89,,Q
2.0,36,Charlotte Kalla,Sweden,3:05.39,+1.50,Q
3.0,19,Maiken Caspersen Falla,Norway,3:05.64,+1.75,Q
4.0,34,Astrid Uhrenholdt Jacobsen,Norway,3:07.31,+3.42,Q
5.0,29,Katja Višnar,Slovenia,3:07.64,+3.75,Q
6.0,32,Krista Lähteenmäki,Finland,3:07.90,+4.01,Q
7.0,18,Hanna Falk,Sweden,3:07.97,+4.08,Q
8.0,37,Laure Barthelemy,France,3:08.53,+4.64,Q
9.0,25,Kikkan Randall,United States,3:09.75,+5.86,Q
10.0,27,Magda Genuin,Italy,3:09.91,+6.02,Q
11.0,16,Arianna Follis,Italy,3:10.41,+6.52,Q
12.0,24,Celine Brun-Lie,Norway,3:10.45,+6.56,Q
13.0,35,Justyna Kowalczyk,Poland,3:10.49,+6.60,Q
14.0,23,Petra Majdič,Slovenia,3:11.13,+7.24,Q
14.0,20,Vesna Fabjan,Slovenia,3:11.13,+7.24,Q
16.0,43,Nicole Fessel,Germany,3:11.37,+7.48,Q
17.0,55,Silvana Bucher,Switzerland,3:12.24,+8.35,Q
18.0,50,Natalja Iljina,Russia,3:12.27,+8.38,Q
19.0,48,Alenka Čebašek,Slovenia,3:12.88,+8.99,Q
20.0,39,Denise Herrmann,Germany,3:13.32,+9.43,Q
21.0,40,Riikka Sarasoja,Finland,3:13.49,+9.60,Q
22.0,17,Ida Ingemarsdotter,Sweden,3:13.50,+9.61,Q
23.0,44,Chandra Crawford,Canada,3:13.90,+10.01,Q
24.0,9,Perianne Jones,Canada,3:13.95,+10.06,Q
25.0,22,Alena Procházková,Slovakia,3:14.64,+10.75,Q
26.0,21,Anastasia Dotsenko,Russia,3:15.03,+11.14,Q
27.0,33,Daria Gaiazova,Canada,3:15.10,+11.21,Q
28.0,15,Sadie Bjornsen,United States,3:15.19,+11.30,Q
29.0,7,Jessica Diggins,United States,3:15.24,+11.35,Q
30.0,31,Hanna Brodin,Sweden,3:15.54,+11.65,Q
31.0,47,Aurore Jean,France,3:15.61,+11.72,
32.0,38,Natalya Korostelyova,Russia,3:15.83,+11.94,
33.0,45,Anne Kyllönen,Finland,3:16.45,+12.56,
34.0,49,Triin Ojaste,Estonia,3:16.70,+12.81,
35.0,10,Gaia Vuerich,Italy,3:16.89,+13.00,
36.0,41,Katerina Smutna,Austria,3:17.19,+13.30,
37.0,26,Madoka Natsumi,Japan,3:17.89,+14.00,
38.0,28,Pirjo Muranen,Finland,3:18.21,+14.32,
39.0,54,Elena Soboleva,Russia,3:19.55,+15.66,
40.0,11,Elena Kolomina,Kazakhstan,3:20.17,+16.28,
41.0,8,Oxana Yatskaya,Kazakhstan,3:20.31,+16.42,
42.0,51,Lucia Anger,Germany,3:20.55,+16.66,
43.0,46,Laurien Van Der Graf,Switzerland,3:20.66,+16.77,
44.0,6,Esther Bottomley,Australia,3:21.86,+17.97,
45.0,53,Ida Sargent,United States,3:22.32,+18.43,
46.0,12,Elisa Brocard,Italy,3:22.52,+18.63,
47.0,2,Ewelina Marcisz,Poland,3:22.54,+18.65,
48.0,57,Tatjana Roshina,Kazakhstan,3:22.85,+18.96,
49.0,3,Agnieszka Szymańczak,Poland,3:23.48,+19.59,
50.0,14,Émilie Vina,France,3:23.97,+20.08,
51.0,56,Kateryna Grygorenko,Ukraine,3:24.63,+20.74,
52.0,60,Paulina Maciuszek,Poland,3:25.30,+21.41,
53.0,59,Rosamund Musgrave,United Kingdom,3:26.34,+22.45,
54.0,1,Anastasia Slonova,Kazakhstan,3:26.51,+22.62,
55.0,52,Eva Nývltová,Czech Republic,3:27.05,+23.16,
56.0,4,Piret Pormeister,Estonia,3:27.34,+23.45,
57.0,64,Maryna Antsybor,Ukraine,3:28.17,+24.28,
58.0,58,Teodora Malcheva,Bulgaria,3:28.79,+24.90,
59.0,42,Hanna Kolb,Germany,3:28.81,+24.92,
60.0,66,Vita Jakimchuk,Ukraine,3:29.67,+25.78,
61.0,62,Lina Kreivenaitė,Lithuania,3:32.01,+28.12,
62.0,63,Monika György,Romania,3:32.20,+28.31,
63.0,71,Niviaq Chemnitz Berthelsen,Denmark,3:32.56,+28.67,
64.0,68,Ingrida Ardišauskaitė,Lithuania,3:33.54,+29.65,
65.0,13,Kaija Udras,Estonia,3:33.88,+29.99,
66.0,5,Katarina Garajová,Slovakia,3:37.08,+30.19,
67.0,67,Zoya Zaviedieieva,Ukraine,3:38.21,+31.32,
68.0,65,Nina Broznić,Croatia,3:38.36,+31.47,
69.0,69,Lee Chae-Won,South Korea,3:38.59,+31.70,
70.0,74,Inga Dauškāne,Latvia,3:39.28,+32.39,
71.0,70,Vedrana Malec,Croatia,3:41.54,+34.65,
72.0,84,Jaqueline Mourão,Brazil,3:49.07,+45.18,
73.0,72,Sarah Young,United Kingdom,3:50.77,+46.88,
