name,1968 cf designator,place of manufacture,primary roles,service period,num used
AgustaWestland CH-149 Cormorant,CH-149,UK/Italy,Search and Rescue helicopter,,15
Airbus Polaris,CC-150,France,transport/tanker,,5
Airco DH.4,,UK,bomber,,12
Airco DH.9A,,UK,bomber,,12
Airspeed Horsa,,UK,glider troop transport,,3
Airspeed Oxford,,UK,"trainer (navigation, bombing & radio)",,819
Armstrong Whitworth Atlas,,UK,army co-operation,,16
Armstrong Whitworth Siskin,,UK,fighter,,12
Auster AOP6 & T7,,UK,air observation post,,42
Avro 504,,UK,trainer,,97
Avro 552 Viper,,Canada,forestry patrol,,14
Avro Avian Mk.IVM,,UK,utility/trainer,,29
Avro Tutor (Avro 621),,UK,trainer,,7
Avro Prefect (Avro 626),,UK,trainer,,12
Avro Anson,,UK/Canada,medium bomber/trainer,,4413
Avro Lancaster,,UK/Canada,heavy bomber,,229
Avro Lincoln,,UK/Canada,heavy bomber,,3
Avro Wright,,Canada,forestry patrol,,1
Avro Canada CF-105 Arrow,CF-105,Canada,interceptor,,5
Avro Canada CF-100 Canuck,CF-100,Canada,interceptor,,692
BAE Systems/Advanced Ceramics Research Silver Fox,CU-167,UK,UAV,,4+
BAE Systems Hawk,CT-155,UK,advanced trainer,,22
Barkley-Grow T8P-1,,US,transport,,1
Beechcraft Expeditor,CT-128,US,utility/trainer,,394
Beechcraft Harvard II,CT-156,US,elementary trainer,,26
Beechcraft King Air,CT-145,US,transport/trainer,,8
Beechcraft Mentor,,US,elementary trainer,,25
Beechcraft Musketeer,CT-134,US,elementary trainer,,46
Bell 47D & G,,US,utility helicopter,,9
Bell Griffon,CH-146,Canada,utility helicopter,,100
Bell Iroquois,CH-118,US/Canada,utility helicopter,,10
Bell Jet Ranger,CH-139,US,utility helicopter,,14
Bell Kiowa,CH-136,US,utility helicopter,,74
Bell Twin Huey,CH-135,US,utility helicopter,,50
Bellanca CH-300 Pacemaker,,US,transport,,13
Blackburn Shark Mk.II & III,,UK,torpedo bomber,,26
Boeing 247D,,US,transport,,8
Boeing CC-137,CC-137,US,transport/tanker,,5
Boeing Fortress Mk.II,,US,long-range patrol bomber,,6
Boeing Globemaster III,CC-177,US,transport,,4
Boeing Insitu ScanEagle,CU-169,US,UAV,,?
Boeing Stratojet,,US,bomber used as engine testbed,,1
Boeing-Vertol Chinook,CH-147,US,transport helicopter,,9
Boeing-Vertol Labrador & Voyageur,CH-113,US,Search and Rescue helicopter,,18
Brewster Bermuda,,US,dive bomber,,3
Bristol Beaufort,,UK,torpedo bomber/strike/minelayer,,15
Bristol Blenheim Mk.IV,,UK,medium bomber/gunnery trainer,,1
Bristol F.2B Fighter,,UK,fighter,,2
Bristol Fairchild Bolingbroke,,Canada,bomber/trainer,,626
Bristol Freighter,,UK,cargo,,6
Burgess-Dunne,,US,reconnaissance,,1
Canadair Argus,CP-107,Canada,maritime patrol,,33
Canadair C-5 North Star,,Canada,VIP transport,,1
Canadair CF-5 Freedom Fighter,CF-116,Canada,fighter/ground attack,,133
Canadair Challenger,CC-144,Canada,VIP transport/EW trainer/maritime patrol,,18
Canadair Cosmopolitan,CC-109,Canada,transport,,13
Canadair Dynavert,CX-131,Canada,experimental VTOL tilt-wing,,3
Canadair North Star,,Canada,transport,,24
Canadair Sabre,,Canada,fighter,,1184
Canadair Silver Star,CT-133,Canada,trainer/EW,,656
Canadair Starfighter,CF-104,Canada,fighter,,200
Canadair Tutor,CT-114,Canada,trainer,,190
Canadair Yukon,CC-106,Canada,transport,,12
Canadian Vickers Vancouver,,Canada,patrol flying boat,,6
Canadian Vickers Vanessa,,Canada,utility/transport,,1
Canadian Vickers Varuna,,Canada,patrol flying boat,,8
Canadian Vickers Vedette,,Canada,patrol flying boat,,44
Canadian Vickers Velos,,Canada,patrol floatplane,,1
