num,date,location,winner,score jsu,score tu
1.0,"November 27, 1924","Jacksonville, AL",Jacksonville State,14,9
2.0,"October 28, 1927",?,Jacksonville State,26,12
3.0,"November 16, 1928","Troy, AL",Jacksonville State,20,0
4.0,"October 3, 1931","Jacksonville, AL",Troy State,6,24
5.0,"November 12, 1932","Montgomery, AL",Troy State,0,20
6.0,"November 10, 1933","Jacksonville, AL",Troy State,7,18
7.0,"October 26, 1934","Troy, AL",Troy State,0,32
8.0,"November 11, 1938","Jacksonville, AL",Tied,6,6
9.0,"November 11, 1939","Troy, AL",Troy State,0,27
10.0,"November 8, 1940","Troy, AL",Troy State,0,7
11.0,"October 17, 1946","Anniston, AL",Troy State,0,12
12.0,"October 17, 1947","Troy, AL",Jacksonville State,14,0
13.0,"October 14, 1948","Jacksonville, AL",Jacksonville State,25,13
14.0,"December 18, 1948","Pensacola, FL",Jacksonville State,19,0
15.0,"October 15, 1949","Troy, AL",Troy State,6,27
16.0,"October 14, 1950","Montgomery, AL",Jacksonville State,9,0
17.0,"October 13, 1951","Troy, AL",Jacksonville State,13,7
18.0,"October 18, 1952","Jacksonville, AL",Troy State,6,19
19.0,"October 17, 1953","Troy, AL",Troy State,7,13
20.0,"October 16, 1954","Jacksonville, AL",Jacksonville State,38,7
21.0,"October 15, 1955","Troy, AL",Jacksonville State,12,0
22.0,"October 13, 1956","Jacksonville, AL",Jacksonville State,27,14
23.0,"October 12, 1957","Troy, AL",Jacksonville State,13,0
24.0,"October 11, 1958","Jacksonville, AL",Jacksonville State,20,7
25.0,"October 10, 1959","Troy, AL",Jacksonville State,35,12
26.0,"October 8, 1960","Jacksonville, AL",Jacksonville State,27,6
27.0,"October 7, 1961","Troy, AL",Jacksonville State,22,21
28.0,"October 6, 1962","Jacksonville, AL",Jacksonville State,21,14
29.0,"October 5, 1963","Troy, AL",Jacksonville State,15,8
30.0,"October 3, 1964","Jacksonville, AL",Jacksonville State,38,0
31.0,"October 2, 1965","Troy, AL",Jacksonville State,9,7
32.0,"October 15, 1966","Jacksonville, AL",Jacksonville State,27,6
33.0,"October 14, 1967","Troy, AL",Troy State,0,46
34.0,"October 19, 1968","Jacksonville, AL",Troy State,0,31
35.0,"October 18, 1969","Troy, AL",Troy State,6,37
36.0,"October 17, 1970","Jacksonville, AL",Jacksonville State,55,10
37.0,"October 16, 1971","Troy, AL",Troy State,28,42
38.0,"November 11, 1972","Jacksonville, AL",Tied,14,14
39.0,"November 10, 1973","Troy, AL",Jacksonville State,38,14
40.0,"November 16, 1974","Jacksonville, AL",Jacksonville State,23,12
41.0,"November 15, 1975","Troy, AL",Troy State,10,26
42.0,"November 13, 1976","Jacksonville, AL",Troy State,16,19
43.0,"November 12, 1977","Troy, AL",Jacksonville State,17,9
44.0,"November 11, 1978","Jacksonville, AL",Jacksonville State,42,21
45.0,"November 10, 1979","Troy, AL",Troy State,10,12
46.0,"November 15, 1980","Jacksonville, AL",Jacksonville State,13,8
47.0,"November 14, 1981","Troy, AL",Jacksonville State,31,24
48.0,"November 13, 1982","Jacksonville, AL",Jacksonville State,49,14
49.0,"November 12, 1983","Troy, AL",Troy State,3,45
50.0,"November 10, 1984","Jacksonville, AL",Troy State,39,42
51.0,"November 16, 1985","Troy, AL",Troy State,14,31
52.0,"November 15, 1986","Jacksonville, AL",Troy State,43,45
53.0,"November 14, 1987","Troy, AL",Troy State,9,14
54.0,"November 5, 1988","Jacksonville, AL",Jacksonville State,31,3
55.0,"November 4, 1989","Troy, AL",Jacksonville State,38,3
56.0,"November 3, 1990","Jacksonville, AL",Jacksonville State,21,10
57.0,"October 21, 1995","Troy, AL",Troy State,7,35
58.0,"October 26, 1996","Jacksonville, AL",Troy State,21,31
59.0,"November 22, 1997","Troy, AL",Troy State,0,49
60.0,"November 21, 1998","Jacksonville, AL",Troy State,7,31
61.0,"November 20, 1999","Troy, AL",Troy State,16,35
62.0,"November 18, 2000","Jacksonville, AL",Troy State,0,28
63.0,"November 17, 2001","Troy, AL",Troy State,3,21
,Totals,,,1086,1110
