Date,Time,Opponent,Site,TV,Result,Attendance,Record
11/09/2013*,1:00 pm,Trinity Baptist,"Moore Gymnasium • Daytona Beach, FL",,,409,
11/12/2013*,7:00 pm,at South Florida,"USF Sun Dome • Tampa, FL",ESPN3,,"3,549",
11/17/2013*,2:00 pm,at UCF,"CFE Arena • Orlando, FL",ESPN3,,"4,095",
11/19/2013*,7:00 pm,Trinity (FL),"Moore Gymnasium • Daytona Beach, FL",,,"1,180",
11/21/2013*,7:00 pm,FIU,"Moore Gymnasium • Daytona Beach, FL",,,,
11/25/2013*,9:00 pm,at New Mexico State,"Pan American Center • Las Cruces, NM (Colorado State Challenge)",,,"4,985",
11/27/2013*,4:00 pm,at New Mexico State,"Moby Arena • Fort Collins, CO (Colorado State Challenge)",,,"2,945",
11/29/2013*,9:00 pm,vs. Prairie View A&M,,,,102,
11/30/2013*,9:00 pm,at Northern Colorado,,,,,
12/03/2013*,7:00 pm,at Stetson,"Edmunds Center • DeLand, FL",,,"1,056",
12/07/2013,6:00 pm,at Norfolk State,"Joseph G. Echols Memorial Hall • Norfolk, VA",,,"1,425",
12/09/2013,7:00 pm,at Hampton,"Hampton Convocation Center • Hampton, VA",,,"1,428",
12/14/2013*,4:00 pm,at Akron,"James A. Rhodes Arena • Akron, OH",,,"2,763",
12/17/2013*,7:00 pm,at Youngstown State,"Beeghly Center • Youngstown, OH",,,"1,399",
12/21/2013*,7:00 pm,at North Florida,"UNF Arena • Jacksonville, FL",,,617,
12/30/2013*,8:00 pm,at Detroit,"Calihan Hall • Detroit, MI",,,"3,107",
01/03/2014*,8:00 pm,at Northern Illinois,"Convocation Center • DeKalb, IL",,,657,
01/11/2014,4:00 pm,North Carolina A&T,"Moore Gymnasium • Daytona Beach, FL",,,"1,091",
01/13/2014,7:30 pm,North Carolina Central,"Moore Gymnasium • Daytona Beach, FL",,,"1,210",
01/18/2014,6:00 pm,at Savannah State,"Tiger Arena • Savannah, GA",,,"3,220",
01/20/2014,7:30 pm,at South Carolina State,"SHM Memorial Center • Orangeburg, SC",,,751,
01/25/2014,4:00 pm,Maryland Eastern Shore,"Moore Gymnasium • Daytona Beach, FL",,,"1,030",
01/27/2014,7:30 pm,Howard,"Moore Gymnasium • Daytona Beach, FL",,,"1,216",
02/01/2014,4:00 pm,Savannah State,"Moore Gymnasium • Daytona Beach, FL",,,"1,075",
02/03/2014,7:30 pm,South Carolina State,"Moore Gymnasium • Daytona Beach, FL",,,"1,063",
02/08/2014,4:00 pm,at North Carolina Central,,,,"2,420",
02/10/2014,8:00 pm,at North Carolina A&T,"Corbett Sports Center • Greensboro, NC",,,"1,019",
02/15/2014,4:00 pm,Delaware State,"Moore Gymnasium • Daytona Beach, FL",,,843,
02/22/2014,4:00 pm,Florida A&M,"Moore Gymnasium • Daytona Beach, FL",,,"3,231",
03/01/2014,4:00 pm,at Morgan State,"Talmadge L. Hill Field House • Baltimore, MD",,,"2,056",
03/06/2014,7:30 pm,at Florida A&M,"Teaching Gym • Tallahassee, FL",,,"2,376",
03/11/2014,6:30 pm,vs. Coppin State,"Norfolk Scope • Norfolk, VA (First round)",,,"4,658",
