Rank,Group,Name,Nationality,2.05,2.15,2.19,2.23,2.26,Result,Notes
1.0,A,Nicola Ciotti,Italy,-,o,o,o,o,2.26,q
1.0,A,Linus Thörnblad,Sweden,-,o,o,o,o,2.26,q
1.0,A,Tomáš Janků,Czech Republic,-,o,o,o,o,2.26,q
1.0,B,Oskari Frösen,Finland,-,o,o,o,o,2.26,q
1.0,B,Stefan Holm,Sweden,-,o,o,o,o,2.26,q
1.0,B,Svatoslav Ton,Czech Republic,-,o,o,o,o,2.26,q
7.0,A,Niki Palli,Israel,o,o,o,o,xo,2.26,q
7.0,B,Yaroslav Rybakov,Russia,-,o,o,o,xo,2.26,q
9.0,B,Giulio Ciotti,Italy,-,o,xo,o,xo,2.26,q
10.0,A,Andrey Silnov,Russia,-,o,o,o,xxo,2.26,q
11.0,A,Ivan Ukhov,Russia,-,-,-,o,-,2.23,q
11.0,A,Andrea Bettinelli,Italy,-,o,o,o,xxx,2.23,q
11.0,B,Wilbert Pennings,Netherlands,-,o,o,o,xxx,2.23,q
14.0,A,Martyn Bernard,United Kingdom,-,o,xxo,xo,xxx,2.23,
15.0,B,Peter Horák,Slovakia,-,o,o,xxo,xxx,2.23,
15.0,B,Normunds Pūpols,Latvia,-,o,o,xxo,xxx,2.23,
17.0,A,Germaine Mason,United Kingdom,-,o,o,xxx,,2.19,
17.0,B,Rožle Prezelj,Slovenia,o,o,o,xxx,,2.19,
19.0,A,Heikki Taneli,Finland,-,xo,o,xxx,,2.19,
19.0,B,Andriy Sokolovskyy,Ukraine,-,xo,o,xxx,,2.19,
21.0,B,Mickaël Hanany,France,-,xo,xo,xxx,,2.19,
22.0,B,Javier Bermejo,Spain,o,o,xxx,,,2.15,
23.0,A,Osku Torro,Finland,-,xo,x-,x,,2.15,
24.0,A,Jan-Peter Larsen,Netherlands,o,xxx,,,,2.05,
,B,Adam Scarr,United Kingdom,-,xxx,,,,NM,
