Date,Opponentnum,Ranknum,Site,Result,Attendance
September 12,#1 Michigan,,"Camp Randall Stadium • Madison, WI",,"68,733"
September 19,#9 UCLA*,#20,"Camp Randall Stadium • Madison, WI",,"71,496"
September 26,Western Michigan*,,"Camp Randall Stadium • Madison, WI",,"67,196"
October 3,Purdue,,"Camp Randall Stadium • Madison, WI",,"68,603"
October 10,#18 Ohio State,,"Camp Randall Stadium • Madison, WI",,"78,973"
October 17,at Michigan State,#14,"Spartan Stadium • East Lansing, MI",,"67,352"
October 24,at Illinois,,"Memorial Stadium • Champaign, IL",,"67,413"
October 31,Northwestern,,"Camp Randall Stadium • Madison, WI",,"70,035"
November 7,at Indiana,,"Memorial Stadium • Bloomington, IN",,"44,218"
November 14,Iowa,,"Camp Randall Stadium • Madison, WI",,"78,731"
November 21,at Minnesota,,"Memorial Stadium • Minneapolis, MN (Paul Bunyan's Axe)",,"47,125"
December 13,vs. Tennessee*,,"Giants Stadium • East Rutherford, NJ (Garden State Bowl)",,"53,220"
