Week,Date,Opponent,Result,Attendance
1,"September 1, 1991",Minnesota Vikings,,"64,112"
2,"September 8, 1991",at Tampa Bay Buccaneers,,"65,625"
3,"September 15, 1991",New York Giants,,"64,829"
4,"September 23, 1991",New York Jets,,"65,255"
5,"September 29, 1991",at Buffalo Bills,,"80,366"
6,"October 6, 1991",Washington Redskins,,"64,941"
7,Bye,Bye,Bye,Bye
8,"October 17, 1991",at Green Bay Packers,,"58,435"
9,"October 27, 1991",at New Orleans Saints,,"68,591"
10,"November 3, 1991",Detroit Lions,,"57,281"
11,"November 11, 1991",at Minnesota Vikings,,"59,001"
12,"November 17, 1991",at Indianapolis Colts,,"60,519"
13,"November 24, 1991",Miami Dolphins,,"58,288"
14,"November 28, 1991",at Detroit Lions,,"78,879"
15,"December 8, 1991",Green Bay Packers,,"62,353"
16,"December 14, 1991",Tampa Bay Buccaneers,,"54,719"
17,"December 23, 1991",at San Francisco 49ers,,"60,419"
