model,1991,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Škoda Felicia,172000,210000,,288458,261127,241256,148028,44963,-,-,-,-,-,-,-,-,-,-,-,-
Škoda Octavia,-,-,,47876,102373,143251,158503,164134,"164,017","165,635","181,683","233,322","270,274","309,951","344,857","317,335","349,746","387,200","409,360","359,600"
Škoda Fabia,-,-,-,-,-,823,128872,250978,"264,641","260,988","247,600","236,698","243,982","232,890","246,561","264,173","229,045","266,800","255,025","202,000"
Škoda Superb,-,-,-,-,-,-,-,177,"16,867","23,135","22,392","22,091","20,989","20,530","25,645","44,548","98,873","116,700","106,847","94,400"
Škoda Roomster,-,-,-,-,-,-,-,-,-,-,-,-,"14,422","66,661","57,467","47,152","32,332","36,000","39,249","33,300"
Škoda Yeti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,018","52,604","70,300","90,952","82,400"
Škoda Rapid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,700","9,292","103,800"
Škoda Citigo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,509,"36,687","45,200"
Total,"172,000","210,000","261,000","336,334","363,500","385,330","435,403","460,252","445,525","449,758","451,675","492,111","549,667","630,032","674,530","684,226","762,600","879,200","949,412","920,800"
