camp,div sec division,admin district,9 feb,11 feb,16 feb,25 feb,27 feb,2 mar,4 mar,6 mar,11 mar,13 mar,24 mar,30 mar,31 mar
Menik Farm Zone 0 (Kathirkamar Village),Vengalachedikulam,VAV,,,1353.0,2768.0,2791.0,2791.0,3344.0,4212.0,4679.0,4679.0,6459.0,6459.0,6459.0
Menik Farm Zone 3 (Arunachchalam Village),Vengalachedikulam,VAV,,,,,,,,,,,6729.0,11881.0,11881.0
"Ariviththodam Sivanantha Vidyalayam, Menik Farm",Vengalachedikulam,VAV,581.0,581.0,581.0,581.0,584.0,584.0,585.0,585.0,583.0,583.0,601.0,601.0,601.0
Cheddikulam Maha Vidyalayam,Vengalachedikulam,VAV,1624.0,1624.0,1624.0,1965.0,1965.0,1965.0,1996.0,1996.0,2001.0,2001.0,1995.0,1995.0,1995.0
Gamini Maha Vidyalayam,Vavuniya,VAV,1306.0,1306.0,2017.0,1618.0,1618.0,1618.0,1263.0,1307.0,1382.0,1382.0,1471.0,1487.0,1487.0
Kovilkulam Hindu College,Vavuniya,VAV,,1066.0,1056.0,1081.0,1143.0,1143.0,1130.0,1130.0,1139.0,1139.0,1167.0,1166.0,1166.0
Nelukkulam Kalaimahal Maha Vidyalayam,Vavuniya,VAV,2829.0,2829.0,2829.0,3071.0,3084.0,3084.0,3084.0,3068.0,3068.0,3082.0,3101.0,3070.0,3070.0
Nelukkulam Technical College,Vavuniya,VAV,,1527.0,2374.0,2913.0,2913.0,2913.0,2730.0,2801.0,2801.0,2968.0,3020.0,3032.0,3032.0
Pampamadhu Hostel School,Vavuniya,VAV,2779.0,2779.0,4181.0,4131.0,4131.0,4131.0,4131.0,4108.0,4108.0,4108.0,4178.0,4178.0,4178.0
Ponthoodam Government Tamil Mixed School,Vavuniya,VAV,1351.0,1351.0,1351.0,1365.0,1310.0,1310.0,1310.0,1308.0,1308.0,1320.0,1327.0,1319.0,1319.0
Poonathoddam College of Education,Vavuniya,VAV,4406.0,4406.0,5302.0,5302.0,5009.0,5009.0,5009.0,5036.0,5036.0,5119.0,5236.0,5243.0,5243.0
"Sivapirakasa Ladies College, Vavuniya",Vavuniya,VAV,,,,,2257.0,2257.0,2346.0,2390.0,2612.0,2612.0,3020.0,2973.0,2973.0
Vavuniya Muslim Maha Vidyalayam,Vavuniya,VAV,,1333.0,1767.0,1767.0,,,,,,,1360.0,1394.0,1394.0
Vavuniya Tamil Maha Vidyalayam (Primary),Vavuniya,VAV,,,1916.0,1929.0,1390.0,1390.0,,1153.0,1153.0,1153.0,1196.0,1168.0,1168.0
Vavuniya Tamil Maha Vidyalayam (Senior),Vavuniya,VAV,,1200.0,4390.0,3838.0,4085.0,4085.0,5475.0,3540.0,3390.0,3390.0,3963.0,3969.0,3969.0
Kaithady Ayurvedic University Hostel,Thenmarachchi,JAF,,,,,,,,,647.0,647.0,1073.0,1073.0,1083.0
Kaithady Hindu Children Home,Thenmarachchi,JAF,,,,,,,,184.0,184.0,184.0,667.0,667.0,668.0
Kaithady Palmyra Research Institute 1,Thenmarachchi,JAF,,,,,,,,,,,,,357.0
Kodikamam Government Tamil Mixed School,Thenmarachchi,JAF,,,411.0,424.0,503.0,503.0,655.0,711.0,706.0,706.0,1006.0,1006.0,1006.0
Kopay Teacher Training College,Valikamam East,JAF,,,444.0,438.0,464.0,464.0,463.0,463.0,463.0,463.0,464.0,464.0,464.0
Murusivil Roman Catholic Tamil Mixed School,Thenmarachchi,JAF,,,1139.0,1140.0,1139.0,1139.0,1140.0,1140.0,1313.0,1313.0,1691.0,1691.0,1786.0
Thirunagar Old Court House,Jaffna,JAF,,,73.0,74.0,49.0,49.0,108.0,108.0,113.0,113.0,114.0,114.0,140.0
Illupaikkulam,Mannar Town,MAN,,,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Kalimoddai,Nanaddan,MAN,,,445.0,445.0,445.0,445.0,445.0,454.0,454.0,454.0,454.0,454.0,454.0
Mannar District General Hospital,Mannar Town,MAN,,,,,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0
Sirukandal,Nanaddan,MAN,,,357.0,357.0,357.0,357.0,357.0,350.0,350.0,350.0,350.0,350.0,350.0
Kantale Base Hospital,Kantale,TRI,,,,84.0,160.0,127.0,127.0,127.0,80.0,80.0,57.0,57.0,57.0
Methodist School,,TRI,,,,83.0,52.0,26.0,32.0,126.0,40.0,40.0,,,
Pulmoddai Field Hospital,Kuchaveli,TRI,,,,,,,,,,,79.0,79.0,129.0
Thampalakamam Peripheral Unit,Thampalakamam,TRI,,,,33.0,76.0,79.0,77.0,77.0,75.0,75.0,35.0,35.0,35.0
Trincomalee General Hospital,Town & Gravets,TRI,,,,678.0,544.0,512.0,417.0,492.0,426.0,426.0,374.0,374.0,296.0
Colombo National Hospital,,COL,,,,28.0,75.0,106.0,106.0,106.0,97.0,97.0,186.0,186.0,118.0
Padaviya Base Hospital,,ANU,,,,,,,,,,,145.0,145.0,223.0
Polonnaruwa General Hospital,,POL,,,,86.0,171.0,171.0,171.0,171.0,171.0,171.0,100.0,100.0,92.0
Total,Total,Total,14876.0,20002.0,33662.0,36251.0,36646.0,36589.0,36832.0,37474.0,38710.0,38986.0,51949.0,57061.0,57524.0
