date,opponentnum,ranknum,site,result,attendance
September 9,Northern Illinois*,#4,"Memorial Stadium • Lincoln, Nebraska",W 48-17,76194
September 16,Utah*,#4,"Memorial Stadium • Lincoln, Nebraska",W 42-30,76333
September 23,at Minnesota,#3,"Hubert H. Humphrey Metrodome • Minneapolis, Minnesota",W 48-0,58368
September 30,Oregon State*,#3,"Memorial Stadium • Lincoln, Nebraska",W 35-7,76290
October 7,Kansas State,#4,"Memorial Stadium • Lincoln, Nebraska",W 58-7,76265
October 14,at Missouri,#4,"Faurot Field • Columbia, Missouri",W 50-7,55620
October 21,at Oklahoma State,#4,"Lewis Field • Stillwater, Oklahoma",W 48-23,40000
October 28,Iowa State,#4,"Memorial Stadium • Lincoln, Nebraska",W 49-17,52877
November 4,at #2 Colorado,#3,"Folsom Field • Boulder, Colorado",L 21-27,52877
November 11,Kansas,#6,"Memorial Stadium • Lincoln, Nebraska",W 51-14,76232
November 18,Oklahoma,#6,"Memorial Stadium • Lincoln, Nebraska",W 42-25,76404
January 1,vs. #5 Florida State*,#6,"Sun Devil Stadium • Tempe, Arizona (Fiesta Bowl)",L 17-41,73953
