name of president,picture,life span,year of presidency,place of conference
Womesh Chunder Bonnerjee,,,1885,Bombay
Dadabhai Naoroji,,,1886,Calcutta
Badruddin Tyabji,,,1887,Madras
George Yule,,,1888,Allahabad
William Wedderburn,,,1889,Bombay
Pherozeshah Mehta,75px,,1890,Calcutta
Anandacharlu,,,1891,Nagpur
Womesh Chunder Bonnerjee,,,1892,Allahabad
Dadabhai Naoroji,,,1893,Lahore
Alfred Webb,,,1894,Madras
Surendranath Banerjee,,,1895,Poona
Rahimtulla M. Sayani,,,1896,Calcutta
C. Sankaran Nair,,,1897,Amraoti
Anandamohan Bose,,,1898,Madras
Romesh Chunder Dutt,,,1899,Lucknow
N. G. Chandavarkar,,,1900,Lahore
Dinshaw Edulji Wacha,,,1901,Calcutta
Surendranath Banerjee,,,1902,Ahmedabad
Lalmohan Ghosh,,,1903,Madras
Henry Cotton,,,1904,Bombay
Gopal Krishna Gokhale,,,1905,Benares
Dadabhai Naoroji,,,1906,Calcutta
Rashbihari Ghosh,,,1907,Surat
Rashbihari Ghosh,,,1908,Madras
Madan Mohan Malaviya,,,1909,Lahore
William Wedderburn,,,1910,Allahabad
Bishan Narayan Dar,,,1911,Calcutta
Raghunath Narasinha Mudholkar,,,1912,Bankipur
Nawab Syed Muhammad Bahadur,,?- 1919,1913,Karachi
Bhupendra Nath Bose,,,1914,Madras
Lord Satyendra Prasanna Sinha,,,1915,Bombay
Ambica Charan Mazumdar,,,1916,Lucknow
Annie Besant,,,1917,Calcutta
Madan Mohan Malaviya,,,1918,Delhi
Syed Hasan Imam,,,1918,Bombay (Special Session)
Motilal Nehru,,,1919,Amritsar
Lala Lajpat Rai,,,1920,Calcutta (Special Session)
C. Vijayaraghavachariar,,,1920,Nagpur
Hakim Ajmal Khan,,,1921,Ahmedabad
Deshbandhu Chittaranjan Das,,,1922,Gaya
Mohammad Ali Jouhar,,,1923,Kakinada
Abul Kalam Azad,,,1923,Delhi (Special Session)
Mohandas Gandhi,,,1924,Belgaum
Sarojini Naidu,,,1925,Kanpur
S. Srinivasa Iyengar,,,1926,Gauhati
Mukhtar Ahmed Ansari,,,1927,Madras
Motilal Nehru,,,1928,Calcutta
Jawaharlal Nehru,,,1929 & 30,Lahore
Vallabhbhai Patel,,,1931,Karachi
Madan Mohan Malaviya,,,1932,Delhi
Madan Mohan Malaviya,,,1933,Calcutta
Nellie Sengupta,,,1933,Calcutta
Rajendra Prasad,,,1934 & 35,Bombay
Jawaharlal Nehru,,,1936,Lucknow
Jawaharlal Nehru,,,1936& 37,Faizpur
Subhas Chandra Bose,,,1938,Haripura
Subhas Chandra Bose,,,1939,Tripuri
Abul Kalam Azad,,,,Ramgarh
J. B. Kripalani,,,1947,Meerut
Pattabhi Sitaraimayya,,,1948 & 49,Jaipur
Purushottam Das Tandon,,,1950,Nasik
Jawaharlal Nehru,,,1951 & 52,Delhi
Jawaharlal Nehru,,,1953,Hyderabad
Jawaharlal Nehru,,,1954,Calcutta
U. N. Dhebar,,,1955,Avadi
U. N. Dhebar,,,1956,Amritsar
U. N. Dhebar,,,1957,Indore
U. N. Dhebar,,,1958,Gauhati
U. N. Dhebar,,,1959,Nagpur
Indira Gandhi,,,1959,Delhi
Neelam Sanjiva Reddy,,,1960,Bangalore
Neelam Sanjiva Reddy,,,1961,Bhavnagar
Neelam Sanjiva Reddy,,,1962 & 63,Patna
K. Kamaraj,,,1964,Bhubaneswar
K. Kamaraj,,,1965,Durgapur
K. Kamaraj,,,1966 & 67,Jaipur
S. Nijalingappa,,,1968,Hyderabad
S. Nijalingappa,,1968,gujarat,
p. mehul,,1969,Faridabad,
Jagjivan Ram,,,1970 & 71,Bombay
Shankar Dayal Sharma,,,,Calcutta
Dev Kant Baruah,,,,Chandigarh
Indira Gandhi,,,,Delhi
Indira Gandhi,,,1983-84,Calcutta
Rajiv Gandhi,,,1985-91,Bombay
P. V. Narasimha Rao,,,1992-96,Tirupati
Sitaram Kesri,,,1997-98,Calcutta
Sonia Gandhi,,,,Calcutta
