hull,type,original name,original operator,delivery,disposition (2012),2nd name,2nd operator,3rd name,3rd operator
No 1,929-117,Tsubasa,Sado Kisen,Mar 1998,Active,,,,
No 2,929-117,Pegasus,Kyusyu Shosen Co. Ltd.,Jun 1989,Active,Toppy 1,Tane Yaku Jetfoils,,
No 3,929-117,Toppy 1,Tane Yaku Jetfoils,Sep 1989,Active,Beetle 3,JR Kyushu Jet Ferries,,
No 4,929-117,Princess Dacil,Trasmediterranea,Mar 1990,Active,Pegasus,Kyusyu Shosen Co. Ltd.,,
No 5,929-117,Nagasaki,JR Kyushu Jet Ferries,Apr 1990,Active,Beetle 1,JR Kyushu Jet Ferries,,
No 6,929-117,Beetle,JR Kyushu Jet Ferries,Jul 1990,Active,Rocket,Cosmo Line,Rocket 3,Tane Yaku Jetfoils
No 7,929-117,Unicorn,Kyusyu Shosen Co. Ltd.,Oct 1990,Active,Pegasus 2,Kyusyu Shosen Co. Ltd.,,
No 8,929-117,Beetle 2,JR Kyushu Jet Ferries,Feb 1991,Active,,,,
No 9,929-117,Venus,Kyushu Yusen,Mar 1991,Active,,,,
No 10,929-117,Suisei,Sado Kisen,Apr 1991,Active,,,,
No 11,929-117,Princess Teguise,Trasmediterranea,Jun 1991,Active,2007 Toppy 5,Tane Yaku Jetfoils,,
No 12,929-117,Toppy 2,Tane Yaku Jetfoils,Apr 1992,Active,,,,
No 13,929-117,Toppy 3,Tane Yaku Jetfoils,Mar 1995,Active,,,,
No 14,929-117,Crystal Wing,Kaijo Access Co.,Jun 1994,Active,2002 Beetle 5,JR Kyushu Jet Ferries,,
No 15,929-117,Emerald Wing,Kaijo Access Co.,Jun 1994,Active,2004 Rocket 1,Cosmo Line,-,Tane Yaku Jetfoil
