date,venue,opponent,competition,num
15 Nov 2006,"Lansdowne Road, Dublin",San Marino,Euro 2008 qualifying,1
28 Mar 2007,"Croke Park, Dublin",Slovakia,Euro 2008 qualifying,2
23 May 2007,"Giants Stadium, New York",Ecuador,Friendly,3
9 Sep 2007,"Tehelne Pole, Bratislava",Slovakia,Euro 2008 qualifying,4
17 Nov 2007,"Millennium Stadium, Cardiff",Wales,Euro 2008 qualifying,5
6 Sep 2008,"Stadion am Bruchweg, Mainz",Georgia,2010 FIFA World Cup qualifying,6
5 Sep 2009,"Neo GSP Stadium, Nicosia",Cyprus,2010 FIFA World Cup qualifying,7
25 May 2010,"RDS Arena, Dublin",Paraguay,Friendly,8
7 Sep 2010,"Aviva Stadium, Dublin",Andorra,Euro 2012 qualifying,9
7 Oct 2011,"Estadi Comunal, Andorra la Vella",Andorra,Euro 2012 qualifying,10
7 Sep 2012,"Astana Arena, Astana",Kazakhstan,2014 FIFA World Cup qualifying,11
11 Sep 2012,"Craven Cottage, London",Oman,Friendly,12
