rank,name,nation,cp,fp,points,placings
1,Beatrix Schuba,Austria,1,7,2763.0,10.0
2,Julie Lynn Holmes,United States,2,5,2697.3,24.5
3,Karen Magnussen,Canada,4,2,2697.7,27.0
4,Janet Lynn,United States,5,1,2680.0,34.0
5,Rita Trapanese,Italy,3,8,2623.6,47.5
6,Sonja Morgenstern,East Germany,9,3,2606.6,52.0
7,Zsuzsa Almássy,Hungary,6,4,2599.9,57.0
8,Charlotte Walter,Switzerland,8,14,2480.7,86.0
9,Christine Errath,East Germany,13,6,2493.5,83.0
10,Suna Murray,United States,14,9,2475.0,91.0
11,Elena Alexandrova,Soviet Union,10,13,2450.5,103.0
12,Patricia Ann Dodd,United Kingdom,7,16,,100.0
13,Kazumi Yamashita,Japan,12,11,,116.0
14,Ludmila Bezáková,Czechoslovakia,11,15,,122.0
15,Jean Scott,United Kingdom,15,10,,132.0
16,Diane Hall,Canada,19,12,,132.0
17,Anita Johansson,Sweden,16,18,,145.0
18,Judith Bayer,West Germany,20,17,,159.0
19,Ruth Hutchinson,Canada,17,20,,168.0
20,Sonja Balun,Austria,22,19,,177.0
21,Joëlle Cartaux,France,18,22,,188.0
22,Cinzia Frosio,Italy,21,21,,197.0
