rank,diver,nationality,preliminary points,preliminary rank,final points,final rank
,Shi Tingmao,China,294.65,2,318.65,1.0
,Wang Han,China,306.6,1,310.2,2.0
,Tania Cagnotto,Italy,253.15,12,295.45,3.0
4.0,Maria Marconi,Italy,264.25,6,290.15,4.0
5.0,Nadezhda Bazhina,Russia,262.75,7,286.2,5.0
6.0,Abby Johnston,United States,282.4,4,282.85,6.0
7.0,Sharleen Stratton,Australia,282.45,3,281.65,7.0
8.0,Anna Lindberg,Sweden,276.05,5,279.55,8.0
9.0,Kelci Bryant,United States,257.0,11,274.25,9.0
10.0,Olena Fedorova,Ukraine,258.3,9,274.15,10.0
11.0,Brittany Broben,Australia,257.1,10,267.2,11.0
12.0,Anastasia Pozdniakova,Russia,260.0,8,251.7,12.0
13.0,Hanna Pysmenska,Ukraine,251.4,13,,
14.0,Jennifer Abel,Canada,250.95,14,,
15.0,Sophie Somloi,Austria,249.45,15,,
16.0,Uschi Freitag,Germany,247.7,16,,
17.0,Sharon Chan,Hong Kong,245.1,17,,
18.0,Inge Jansen,Netherlands,241.95,18,,
19.0,Jun Hoong Cheong,Malaysia,241.95,18,,
20.0,Sayaka Shibusawa,Japan,240.8,20,,
21.0,Jennifer Benitez,Spain,232.5,21,,
22.0,Arantxa Chavez,Mexico,232.35,22,,
23.0,Vianey Hernandez,Mexico,227.85,23,,
24.0,Fanny Bouvet,France,227.1,24,,
25.0,Hannah Starling,Great Britain,226.4,25,,
26.0,Choi Sut Ian,Macau,224.5,26,,
27.0,Marion Farissier,France,221.65,27,,
28.0,Julia Loennegren,Sweden,221.05,28,,
29.0,Yuka Mabuchi,Japan,219.5,29,,
30.0,Alicia Blagg,Great Britain,212.5,30,,
31.0,Beannelys Velasquez,Venezuela,211.3,31,,
32.0,Diana Pineda,Colombia,209.6,32,,
33.0,Tina Punzel,Germany,206.05,33,,
34.0,Maria Florencia Betancourt,Venezuela,204.9,34,,
35.0,Sari Ambarwati,Indonesia,200.05,35,,
36.0,Lei Sio I,Macau,192.0,36,,
37.0,Leyre Eizaguirre,Spain,189.95,37,,
38.0,Huang En-Tien,Chinese Taipei,187.25,38,,
39.0,Carolina Murillo,Colombia,181.85,39,,
40.0,Hsu Shi-Han,Chinese Taipei,146.15,40,,
