metropolitan area,country,rank,forstall 2003 est ,official population,year
Ahmedabad,India,,,6352254.0,2011.0
Atlanta,United States,,,5457831.0,2012.0
Bangalore,India,,,8728906.0,2011.0
Barcelona,Spain,,,5357422.0,2012.0
Belo Horizonte,Brazil,,,5504635.0,2012.0
Beijing,China,19.0,12500000.0,,
Berlin,Germany,,,5097712.0,2012.0
Bogotá,Colombia,,,9023644.0,2014.0
Buenos Aires,Argentina,17.0,13170000.0,12801364.0,2010.0
Cairo,Egypt,16.0,14450000.0,,
Chennai,India,,,8917749.0,2011.0
Chicago,United States,,9175000.0,9522434.0,2012.0
,United States,,,6700991.0,2012.0
Delhi,India,8.0,18600000.0,21753486.0,2011.0
Dhaka,Bangladesh,,,12797394.0,2008.0
Houston,United States,,,6177035.0,2012.0
Hyderabad,India,,,7749334.0,2011.0
İstanbul,Turkey,,,14160467.0,2014.0
Jakarta,Indonesia,6.0,18900000.0,28019545.0,2010.0
Karachi,Pakistan,20.0,11800000.0,,
Kolkata,India,14.0,15100000.0,14617882.0,2011.0
Lima,Peru,,,9735587.0,2014.0
London,United Kingdom,18.0,12875000.0,13614409.0,2012.0
Los Angeles,United States,13.0,15250000.0,13052921.0,2012.0
Madrid,Spain,,,6387824.0,2012.0
Manila,Philippines,11.0,16300000.0,11855975.0,2010.0
Mexico City,Mexico,3.0,20450000.0,20116842.0,2010.0
Miami,United States,,,5762717.0,2012.0
Moscow,Russia,15.0,15000000.0,17000000.0,
Mumbai,India,5.0,19200000.0,20748395.0,2011.0
Nagoya,Japan,,,9107000.0,2010.0
New York,United States,4.0,19750000.0,19831858.0,2012.0
Osaka-Kobe-Kyoto (Keihanshin),Japan,9.0,17375000.0,19342000.0,2010.0
Paris,France,,,12223100.0,2010.0
Philadelphia,United States,,,6018800.0,2012.0
Pune,India,,,5049968.0,2011.0
Ruhr,Germany,,,5135136.0,2012.0
Rio de Janeiro,Brazil,,,11846530.0,2012.0
São Paulo,Brazil,7.0,18850000.0,19956590.0,2012.0
Santiago,Chile,,,6683852.0,2012.0
Shanghai,China,10.0,16650000.0,,
Seoul,South Korea,2.0,20550000.0,25721000.0,2012.0
Singapore,Singapore,,,5312000.0,2012.0
Tokyo,Japan,1.0,32450000.0,36923000.0,2010.0
Toronto,Canada,,,5583064.0,2011.0
"Washington, D.C.",United States,,,5860342.0,2012.0
