Name in English,Name in Turkish,Area (km2),Depth,Location (districts and/or provinces)
Lake Van,Van Gölu,3755 km2,451 m,"Van, Bitlis"
Lake Tuz,Tuz Gölu,1500 km2,2 m,"Aksaray, Ankara, Konya"
Lake Beyşehir,Beyşehir Gölu,656 km2,10 m,"Beyşehir in Konya, Isparta"
Lake Eğirdir,Eğirdir Gölu,482 km2,,Isparta
Lake İznik,İznik Gölu,308 km2,,"İznik in Bursa, Yalova"
Lake Burdur,Burdur Gölu,200 km2,,"Burdur, Isparta"
Lake Manyas,Manyas Gölu,166 km2,,Balıkesir
Lake Acıgöl,Acıgöl,153 km2,,"Denizli, Afyonkarahisar"
Lake Uluabat,Uluabat Gölu,134 km2,,Bursa
Lake Çıldır,Çıldır Gölu,115 km2,,"Ardahan, Kars"
Lake Palas Tuzla,Palas Tuzla Gölu,106 km2,15 m,Palas/Kayseri
Lake Akşehir,Akşehir Gölu,105 km2,,"Akşehir in Konya, Afyonkarahisar"
Lake Eber,Eber Gölu,104 km2,,Afyonkarahisar
Lake Erçek,Erçek Gölu,98 km2,,Van
Lake Hazar,Hazar Gölu,86 km2,,Elazığ
Lake Bafa,Bafa Gölu,60 km2,,"Aydın, Muğla"
Lake Köyceğiz,Köyceğiz Gölu,52 km2,,Köyceğiz in Muğla
Lake Işıklı,Işıklı Gölu,49 km2,,Denizli
Lake Nazik,Nazik Gölu,48 km2,,Bitlis
Lake Sapanca,Sapanca Gölu,47 km2,,Sakarya Province
Lake Salda,Salda Gölu,45 km2,184 m,Burdur
Lake Yay,Yay Gölu,37 km2,,Kayseri
Lake Akyatan,Akyatan Gölu,35 km2,,Adana
Lake Balık,Balık Gölu,34 km2,,Doğubeyazıt in Ağrı
Lake Marmara,Marmara Gölu,34 km2,,"Salihli, Gölmarmara in Manisa"
Lake Çöl,Çöl Gölu,32 km2,,Ankara
Lake Durusu (Lake Terkos),Durusu Gölu,25 km2,,İstanbul
Lake Karine,Karine Gölu,24 km2,,
Lake Tuzla,Tuzla Gölu,23 km2,,Tuzla
Lake Kuçukçekmece,Kuçukçekmece Gölu,16 km2,,"Kuçukçekmece, İstanbul"
Lake Yaraşlı,Yaraşlı Gölu,16 km2,,Burdur
Lake Haçlı,Haçlı Gölu,16 km2,,Muş
Lake Seyfe,Seyfe Gölu,15 km2,,Kırşehir
Lake Akyayan,Akyayan Gölu,15 km2,,
Lake Hozapin,Hozapin Gölu,14 km2,,
Lake Arin,Arin Gölu,13 km2,,
Lake Nemrut,Nemrut Gölu,12 km2,,Bitlis Province
Lake Balık,Balık Gölu,12 km2,,
Lake Buyukçekmece,Buyukçekmece Gölu,11 km2,,"Buyukçekmece, Istanbul"
Lake Boluk,Boluk Gölu,11 km2,,
Lake Akdoğan,Akdoğan Gölu,11 km2,,
Lake Çavuşlu,Çavuşlu Gölu,9 km2,,
Lake Duden,Duden Gölu,8 km2,,
Lake Gala,Gala Gölu,8 km2,,Edirne
Lake Karataş,Karataş Gölu,6 km2,,
Lake Mogan,Mogan Gölu,6 km2,,Ankara
Paradeniz,Paradeniz,4 km2,,Mersin
Lake Eymir,Eymir Gölu,1.8 km2,,Ankara
Lake Abant,Abant Gölu,1.28 km2,18 m,Bolu
Lake Gölcuk,Gölcuk Gölu,1 km2,,İzmir
