pos,no,rider,manufacturer,laps,time,grid,points
1,58,Marco Simoncelli,Gilera,25.0,39:02.553,1.0,25.0
2,19,Álvaro Bautista,Aprilia,25.0,+0.223,3.0,20.0
3,36,Mika Kallio,KTM,25.0,+14.450,2.0,16.0
4,60,Julian Simon,KTM,25.0,+14.478,6.0,13.0
5,6,Alex Debon,Aprilia,25.0,+26.226,8.0,11.0
6,15,Roberto Locatelli,Gilera,25.0,+26.392,11.0,10.0
7,72,Yuki Takahashi,Honda,25.0,+26.434,7.0,9.0
8,41,Aleix Espargaro,Aprilia,25.0,+40.546,9.0,8.0
9,14,Ratthapark Wilairot,Honda,25.0,+1:00.219,12.0,7.0
10,32,Fabrizio Lai,Gilera,25.0,+1:20.825,13.0,6.0
11,17,Karel Abraham,Aprilia,25.0,+1:22.802,17.0,5.0
12,25,Alex Baldolini,Aprilia,25.0,+1:22.864,18.0,4.0
13,10,Imre Toth,Aprilia,25.0,+1:23.995,16.0,3.0
14,52,Lukas Pesek,Aprilia,25.0,+1:39.740,14.0,2.0
15,35,Simone Grotzkyj,Gilera,24.0,+1 Lap,21.0,1.0
16,92,Daniel Arcas,Honda,24.0,+1 Lap,20.0,
17,45,Doni Tata Pradita,Yamaha,24.0,+1 Lap,22.0,
Ret,4,Hiroshi Aoyama,KTM,15.0,Retirement,4.0,
Ret,75,Mattia Pasini,Aprilia,15.0,Accident,10.0,
Ret,55,Hector Faubel,Aprilia,4.0,Accident,5.0,
Ret,90,Federico Sandi,Aprilia,1.0,Accident,15.0,
Ret,43,Manuel Hernandez,Aprilia,1.0,Retirement,19.0,
DNQ,27,Stefano Bianco,Gilera,,,,
DNQ,89,Ho Wan Chow,Aprilia,,,,
