opus,title,genre,sub divisions,libretto,composition,premiere date,"place, theatre"
,Der Kampf mit dem Drachen,,1 act,Theodor Körner,1876.0,,unperformed
25,Guntram (revised 1940),,3 acts,by the composer,,10 May 1894; revised version: 29 October 1940,"Weimar, Grossherzogliches Hoftheater"
50,Feuersnot,Singgedicht,1 act,Ernst von Wolzogen,,21 November 1901,"Dresden, Hoftheater"
54,Salome,Musikdrama,1 act,Oscar Wilde; German translation by Hedwig Lachmann,,9 December 1905,"Dresden, Hoftheater"
58,Elektra,Tragödie,1 act,Hugo von Hofmannsthal,,25 January 1909,"Dresden, Hoftheater"
59,Der Rosenkavalier,Komödie fur Musik,3 acts,Hugo von Hofmannsthal,,26 January 1911,"Dresden, Königliches Opernhaus"
60,Ariadne auf Naxos; to be played after Le bourgeois gentilhomme by Moliere,Oper,1 act,Hugo von Hofmannsthal,,25 October 1912,"Stuttgart, Kleines Haus des Hoftheaters"
60 (II),"Ariadne auf Naxos, second version",,prologue & 1 act,Hugo von Hofmannsthal,,4 October 1916,"Vienna, Kaiserliches und Königliches Hof-Operntheater"
65,Die Frau ohne Schatten,Oper,3 acts,Hugo von Hofmannsthal,,10 October 1919,"Vienna, Vienna State Opera"
72,Intermezzo,burgerliche Komödie mit sinfonischen Zwischenspielen,2 acts,by the composer,,4 November 1924,"Dresden, Semperoper"
75,Die ägyptische Helena,Oper,2 acts,"Hugo von Hofmannsthal, after Homer, Euripides and Goethe",,6 June 1928,"Dresden, Semperoper new version: 14 August 1933, Salzburg, Kleines Festspielhaus"
79,Arabella,lyrische Komödie,3 acts,"Hugo von Hofmannsthal, after his story Lucidor, Figuren zu einer ungeschriebenen Komödie (1910) and the comic sketch Der Fiaker als Graf (1925)",,1 July 1933,"Dresden, Semperoper"
80,Die schweigsame Frau,komische Oper,3 acts,"Stefan Zweig, after Ben Jonson's Epicœne, or The silent woman",,24 June 1935,"Dresden, Semperoper"
81,Friedenstag,Oper,1 act,Joseph Gregor,,24 July 1938,"Munich, Bayerische Staatsoper, Nationaltheater"
82,Daphne,bukolische Tragödie,1 act,Joseph Gregor,,15 October 1938,"Dresden, Semperoper"
83,Die Liebe der Danae,heitere Mythologie,3 acts,Joseph Gregor,,14 August 1952,"Salzburg, Kleines Festspielhaus"
85,Capriccio,Konversationsstuck fur Musik,1 act,Clemens Krauss and the composer,,28 October 1942,"Munich, Bayerische Staatsoper, Nationaltheater"
,Des Esels Schatten (orchestrated and completed by Karl Haussner),Komödie,6 scenes,"Hans Adler, after Wieland's novel Die Abderiten",,7 June 1964,Ettal
