Date,Opponent,Score,Result,Location
"Nov. 29, 1963",Queen's,,Win,"Coliseum, Ann Arbor, MI"
"Nov. 30, 1963",Queen's,,Win,"Coliseum, Ann Arbor, MI"
"Dec. 13, 1963",Toronto,,Loss,"Coliseum, Ann Arbor, MI"
"Dec. 14, 1963",Toronto,,Win,"Coliseum, Ann Arbor, MI"
"Jan. 7, 1964",Minn-Duluth,,Win,"Duluth, MN"
"Jan. 8, 1964",Minn-Duluth,,Win,"Duluth, MN"
"Jan. 10, 1964",Minnesota,,Win,"Minneapolis, MN"
"Jan. 11, 1964",Minnesota,,Loss,"Minneapolis, MN"
"Jan. 17, 1964",Loyola (Montreal),,Win,"Coliseum, Ann Arbor, MI"
"Jan. 18, 1964",Loyola (Montreal),,Win,"Coliseum, Ann Arbor, MI"
"Jan. 24, 1964",Michigan Tech,,Win,"Coliseum, Ann Arbor, MI"
"Jan. 25, 1964",Michigan Tech,,Win,"Coliseum, Ann Arbor, MI"
"Jan. 31, 1964",Colorado College,,Win,"Coliseum, Ann Arbor, MI"
"Feb. 1, 1964",Colorado College,,Win,"Coliseum, Ann Arbor, MI"
"Feb. 7, 1964",Ohio,,Win,"Athens, OH"
"Feb. 8, 1964",Ohio State,,Win,"Columbus, OH"
"Feb. 14, 1964",Michigan State,,Win,"East Lansing, MI"
"Feb. 15, 1964",Michigan State,,Win,"Coliseum, Ann Arbor, MI"
"Feb. 21, 1964",Minnesota,,Win,"Coliseum, Ann Arbor, MI"
"Feb. 22, 1964",Minnesota,,Win,"Coliseum, Ann Arbor, MI"
"Feb. 28, 1964",Michigan Tech,,Loss,"Houghton, MI"
"Feb. 29, 1964",Michigan Tech,,Win,"Houghton, MI"
"March 6, 1964",Michigan State,,Win,"East Lansing, MI"
"March 7, 1964",Michigan State,,Win,"Coliseum, Ann Arbor, MI"
"March 12, 1964",Michigan Tech,,Win,"Coliseum, Ann Arbor, MI"
"March 13, 1964",Michigan Tech,,Tie,"Coliseum, Ann Arbor, MI"
"March 14, 1964",Denver,,Loss,"Coliseum, Ann Arbor, MI"
"March 20, 1964",Providence,,Win,"Denver, CO"
"March 21, 1964",Denver,,Win,"Denver, CO"
,,,,
