num,Weekend End Date,Film,Box Office
1,"January 4, 1998",Starship Troopers,2221631
2,"January 11, 1998",The Jackal,1422193
3,"January 18, 1998",The Devil's Advocate,1300773
4,"January 25, 1998",Titanic,4805270
5,"February 1, 1998",Titanic,4773404
6,"February 8, 1998",Titanic,4274375
7,"February 15, 1998",Titanic,3849120
8,"February 22, 1998",Titanic,3657613
9,"March 1, 1998",Titanic,3403199
10,"March 8, 1998",Titanic,3010921
11,"March 15, 1998",Titanic,2469191
12,"March 22, 1998",Titanic,1953082
13,"March 29, 1998",Titanic,2223046
14,"April 5, 1998",Titanic,1504551
15,"April 12, 1998",Titanic,1373363
16,"April 19, 1998",Titanic,981940
17,"April 26, 1998",U.S. Marshals,780012
18,"May 3, 1998",Scream 2,2493950
19,"May 10, 1998",Scream 2,1213184
20,"May 17, 1998",Deep Impact,1763805
21,"May 24, 1998",Deep Impact,1601651
22,"May 31, 1998",Deep Impact,1070805
23,"June 7, 1998",The Wedding Singer,1031660
24,"June 14, 1998",The Wedding Singer,974719
25,"June 21, 1998",City of Angels,1141654
26,"June 28, 1998",City of Angels,674705
27,"July 5, 1998",Six Days Seven Nights,908713
28,"July 12, 1998",Six Days Seven Nights,706928
29,"July 19, 1998",Godzilla,4176960
30,"July 26, 1998",Godzilla,2145088
31,"August 2, 1998",Lost in Space,3127079
32,"August 9, 1998",Armageddon,2732785
33,"August 16, 1998",Armageddon,2243095
34,"August 23, 1998",The X-Files,2506148
35,"August 30, 1998",The X-Files,1192131
36,"September 6, 1998","Lock, Stock and Two Smoking Barrels",1147448
37,"September 13, 1998",Saving Private Ryan,2704522
38,"September 20, 1998",Saving Private Ryan,2077362
39,"September 27, 1998",There's Something About Mary,2076411
40,"October 4, 1998",There's Something About Mary,2026662
41,"October 11, 1998",The Truman Show,2210999
42,"October 18, 1998",The Truman Show,1687037
43,"October 25, 1998",Small Soldiers,1137725
44,"November 1, 1998",The Exorcist,2186977
45,"November 8, 1998",Antz,1650562
46,"November 15, 1998",Antz,1737782
47,"November 22, 1998",Antz,1357591
48,"November 29, 1998",Antz,978414
49,"December 6, 1998",Rush Hour,1809093
50,"December 13, 1998",Rush Hour,1179123
51,"December 20, 1998",Rush Hour,744783
52,"December 27, 1998",Enemy of the State,1420216
