Sum,Mongolian,Population (2005),Population (2008),Population (2009),Area km2,Density /km2,Sum centre population
Battsengel,Батцэнгэл,3818,3855,3846,3500,1.10,1096
Bulgan,Булган,2285,2361,2434,3100,0.79,961
Chuluut,Чулуут,3943,3749,3744,3900,0.96,935
Erdenebulgan*,Эрдэнэбулган,17790,18022,17770,536,33.15,17770
Erdenemandal,Эрдэнэmандал,6099,5843,5933,3400,1.74,1091
Ikh-Tamir,Их таmир,5714,5154,5247,4800,1.09,1050
Jargalant,Жаргалант,4089,4114,4111,3832,1.07,1035
Khairkhan,Хайрхан,3756,3558,3656,2500,1.46,739
Khangai,Хангай,3054,2805,2926,4400,0.66,795
Khashaat,Хашаат,3594,3305,3344,2600,1.29,802
Khotont,Хотонт,4763,4809,4440,2200,2.02,774
Ögii nuur,Өгий нуур,3015,3041,3086,n.a,n.a.,622
Ölziit,Өлзийт,3154,3037,3102,"1,700",1.82,829
Öndör-Ulaan,Өндөр-Улаан,5873,5729,5798,"4,000",1.45,1097
Tariat,Тариат,5082,5022,5086,"3,800",1.34,644
Tuvshruulekh,Түвшрүүлэх,3489,3410,3438,"1,200",2.86,1869
Tsakhir,Цахир,2058,2126,2143,"3,398",0.63,438
Tsenkher,Цэнхэр,5480,5387,5414,"3,200",1.69,997
Tsetserleg,Цэцэрлэг,2058,3955,3813,"2,500",1.53,848
