Rnd.,Pick num,NFL team,Player,Pos.,College,Conf.,Notes
1,1.0,Oakland Raiders,JaMarcus Russell,QB,LSU,SEC,
1,2.0,Detroit Lions,Calvin Johnson,WR,Georgia Tech,ACC,
1,3.0,Cleveland Browns,Joe Thomas,OT,Wisconsin,Big Ten,
1,4.0,Tampa Bay Buccaneers,Gaines Adams,DE,Clemson,ACC,Deceased
1,5.0,Arizona Cardinals,Levi Brown,OT,Penn State,Big Ten,
1,6.0,Washington Redskins,LaRon Landry,S,LSU,SEC,
1,7.0,Minnesota Vikings,Adrian Peterson,RB,Oklahoma,Big 12,
1,8.0,Atlanta Falcons,Jamaal Anderson,DE,Arkansas,SEC,from Houston
1,9.0,Miami Dolphins,Ted Ginn Jr,WR,Ohio State,Big Ten,
1,10.0,Houston Texans,Amobi Okoye,DT,Louisville,Big East,from Atlanta
1,11.0,San Francisco 49ers,Patrick Willis,LB,Ole Miss,SEC,
1,12.0,Buffalo Bills,Marshawn Lynch,RB,California,Pac-10,
1,13.0,St. Louis Rams,Adam Carriker,DT,Nebraska,Big 12,
1,14.0,New York Jets,Darrelle Revis,CB,Pittsburgh,Big East,from Carolina
1,15.0,Pittsburgh Steelers,Lawrence Timmons,LB,Florida State,ACC,
1,16.0,Green Bay Packers,Justin Harrell,DT,Tennessee,SEC,
1,17.0,Denver Broncos,Jarvis Moss,DE,Florida,SEC,from Jacksonville
1,18.0,Cincinnati Bengals,Leon Hall,CB,Michigan,Big Ten,
1,19.0,Tennessee Titans,Michael Griffin,S,Texas,Big 12,
1,20.0,New York Giants,Aaron Ross,CB,Texas,Big 12,
1,21.0,Jacksonville Jaguars,Reggie Nelson,S,Florida,SEC,from Denver
1,22.0,Cleveland Browns,Brady Quinn,QB,Notre Dame,Ind.,from Dallas
1,23.0,Kansas City Chiefs,Dwayne Bowe,WR,LSU,SEC,
1,24.0,New England Patriots,Brandon Meriweather,S,Miami (FL),ACC,from Seattle
1,25.0,Carolina Panthers,Jon Beason,LB,Miami (FL),ACC,from New York Jets
1,26.0,Dallas Cowboys,Anthony Spencer,LB,Purdue,Big Ten,from Philadelphia
1,27.0,New Orleans Saints,Robert Meachem,WR,Tennessee,SEC,
1,28.0,San Francisco 49ers,Joe Staley,OT,Central Michigan,MAC,from New England
1,29.0,Baltimore Ravens,Ben Grubbs,G,Auburn,SEC,
1,30.0,San Diego Chargers,"Craig \Buster\"" Davis""",WR,LSU,SEC,
1,31.0,Chicago Bears,Greg Olsen,TE,Miami (FL),ACC,
1,32.0,Indianapolis Colts,Anthony Gonzalez,WR,Ohio State,Big Ten,
2,33.0,Arizona Cardinals,Alan Branch,DT,Michigan,Big Ten,from Oakland
2,34.0,Buffalo Bills,Paul Posluszny,LB,Penn State,Big Ten,from Detroit
2,35.0,Tampa Bay Buccaneers,Arron Sears,G,Tennessee,SEC,
2,36.0,Philadelphia Eagles,Kevin Kolb,QB,Houston,C-USA,from Cleveland via Dallas
2,37.0,San Diego Chargers,Eric Weddle,S,Utah,MWC,from Washington via Chicago and New York Jets
2,38.0,Oakland Raiders,Zach Miller,TE,Arizona State,Pac-10,from Arizona
2,39.0,Atlanta Falcons,Justin Blalock,G,Texas,Big 12,from Houston
2,40.0,Miami Dolphins,John Beck,QB,BYU,MWC,
2,41.0,Atlanta Falcons,Chris Houston,CB,Arkansas,SEC,from Minnesota
2,42.0,Indianapolis Colts,Tony Ugoh,OT,Arkansas,SEC,from San Francisco
