number,symbol,name,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th
21,Sc,scandium,582163,,,,,,,,,
22,Ti,titanium,602930,639294.0,,,,,,,,
23,V,vanadium,151440,661050.0,699144.0,,,,,,,
24,Cr,chromium,157700,166090.0,721870.0,761733.0,,,,,,
25,Mn,manganese,158600,172500.0,181380.0,785450.0,827067.0,,,,,
26,Fe,iron,163000,173600.0,188100.0,195200.0,851800.0,895161.0,,,,
27,Co,cobalt,167400,178100.0,189300.0,204500.0,214100.0,920870.0,966023.0,,,
28,Ni,nickel,169400,182700.0,194000.0,205600.0,221400.0,231490.0,992718.0,1039668.0,,
29,Cu,copper,174100,184900.0,198800.0,210500.0,222700.0,239100.0,249660.0,1067358.0,1116105.0,
30,Zn,zinc,179100,,,,,,,,,
36,Kr,krypton,85300,90400.0,96300.0,101400.0,111100.0,116290.0,282500.0,296200.0,311400.0,326200.0
42,Mo,molybdenum,87000,93400.0,98420.0,104400.0,121900.0,127700.0,133800.0,139800.0,148100.0,154500.0
