num,Stadium,Capacity,City,Country,Domed or Retractable roof
1,Wembley Stadium,90000,"London, England",United Kingdom,"RR *only covers seats, playing surface uncovered at all times"
2,AT&T Stadium,80000,"Arlington, Texas",United States,RR
3,Millennium Stadium,74500,Cardiff,Wales,RR
4,University of Phoenix Stadium,73719,"Glendale, Arizona",United States,RR; retractable playing surface
5,Mercedes-Benz Superdome,73208,"New Orleans, Louisiana",United States,D
6,Reliant Stadium,71500,"Houston, Texas",United States,RR
7,Georgia Dome,71228,"Atlanta, Georgia",United States,D
8,Lucas Oil Stadium,70000,"Indianapolis, Indiana",United States,RR
9,Stade olympique de Montreal,66308,"Montreal, Quebec",Canada,D
10,Edward Jones Dome,66000,"St. Louis, Missouri",United States,D
11,Alamodome,65000,"San Antonio, Texas",United States,D
12,Ford Field,65000,"Detroit, Michigan",United States,D
13,Stadion Narodowy im. Kazimierza Gorskiego,58145,Warszawa,Poland,RR
14,Etihad Stadium,56347,Melbourne,Australia,RR
15,Arena Națională,55600,Bucharest,Romania,RR
16,Tokyo Dome,55000,Tokyo,Japan,D
17,BC Place,54500,"Vancouver, British Columbia",Canada,RR
18,Friends Arena,54329,"Solna, Stockholm",Sweden,RR
19,Safeco Field,54097,"Seattle, Washington",United States,RR
20,Veltins-Arena,53951,Gelsenkirchen,Germany,RR; retractable playing surface
21,Sapporo Dome,53845,Sapporo,Japan,D; retractable playing surface
22,Turk Telekom Arena,52647,Istanbul,Turkey,RR
23,Commerzbank-Arena,52300,Frankfurt,Germany,RR
24,Rogers Centre,52230,"Toronto, Ontario",Canada,RR
25,Amsterdam ArenA,51628,Amsterdam,Netherlands,RR
26,Esprit Arena,51500,Dusseldorf,Germany,RR
27,Stade Pierre-Mauroy,50186,Lille,France,RR
28,Carrier Dome,49262,"Syracuse, New York",United States,D
29,Chase Field,49033,"Phoenix, Arizona",United States,RR
30,Tropicana Field,45369,"St. Petersburg, Florida",United States,D
31,Toyota Stadium,45000,Toyota,Japan,RR
32,Miller Park,42200,"Milwaukee, Wisconsin",United States,RR
33,Minute Maid Park,40950,"Houston, Texas",United States,RR
34,Nagoya Dome,40500,Nagoya,Japan,D
35,Ōita Stadium,40000,Ōita,Japan,RR
36,Marlins Ballpark,37000,"Miami, Florida",United States,RR
37,Osaka Dome,36477,Osaka,Japan,D
38,Fukuoka Dome,35695,Fukuoka,Japan,RR
39,Seibu Dome,35655,Tokorozawa,Japan,RR
40,Ordos Stadium,35107,Ordos,China,RR
41,Parken Stadion,38065,Copenhagen,Denmark,RR
42,GelreDome,32500,Arnhem,Netherlands,RR; retractable playing surface
43,Nantong Stadium,32244,Nantong,China,RR
44,Forsyth Barr Stadium at University Plaza,30748,Dunedin,New Zealand,D
45,Astana Arena,30000,Astana,Kazakhstan,RR
46,Tele2 Arena,30000,Stockholm,Sweden,RR
47,Tacoma Dome,23000,"Tacoma, Washington",United States,D
48,Fargodome,19000,"Fargo, North Dakota",United States,D
49,Walkup Skydome,16230,"Flagstaff, Arizona",United States,D
50,Kibbie Dome,16000,"Moscow, Idaho",United States,D
51,Alerus Center,13500,"Grand Forks, North Dakota",United States,D
52,Holt Arena,12000,"Pocatello, Idaho",United States,D
53,DakotaDome,10000,"Vermillion, South Dakota",United States,D
54,UNI-Dome,10000,"Cedar Falls, Iowa",United States,D
55,ETSU/Mountain States Health Alliance Athletic Center,8539,"Johnson City, Tennessee",United States,D
56,Superior Dome,8432,"Marquette, Michigan",United States,D
57,Round Valley Ensphere,5500,"Eagar, Arizona",United States,D
