Stage,Date,Route,Terrain,Length,Winner,Race leader
1,30 June,,Plain stage,208 km (129 mi),Alfred Haemerlinck (BEL),Alfred Haemerlinck (BEL)
2,1 July,,Plain stage,212 km (132 mi),Max Bulla (AUT),Max Bulla (AUT)
3,2 July,,Plain stage,206 km (128 mi),Fabio Battesini (ITA),Leon Le Calvez (FRA)
4,3 July,,Plain stage,211 km (131 mi),Andre Godinat (FRA),Rafaele di Paco (ITA)
5,4 July,,Plain stage,202 km (126 mi),Charles Pelissier (FRA),Charles Pelissier (FRA)  Rafaele di Paco (ITA)
6,5 July,,Plain stage,338 km (210 mi),Alfred Haemerlinck (BEL),Rafaele di Paco (ITA)
7,6 July,,Plain stage,180 km (110 mi),Gerard Loncke (BEL),Rafaele di Paco (ITA)
8,7 July,,Plain stage,106 km (66 mi),Charles Pelissier (FRA),Charles Pelissier (FRA)
9,8 July,,Stage with mountain(s),231 km (144 mi),Antonin Magne (FRA),Antonin Magne (FRA)
10,10 July,,Stage with mountain(s),322 km (200 mi),Rafaele di Paco (ITA),Antonin Magne (FRA)
11,12 July,,Plain stage,164 km (102 mi),Rafaele di Paco (ITA),Antonin Magne (FRA)
12,13 July,,Plain stage,207 km (129 mi),Max Bulla (AUT),Antonin Magne (FRA)
13,14 July,,Plain stage,181 km (112 mi),Charles Pelissier (FRA),Antonin Magne (FRA)
14,15 July,,Stage with mountain(s),132 km (82 mi),Eugenio Gestri (ITA),Antonin Magne (FRA)
15,17 July,,Stage with mountain(s),233 km (145 mi),Jef Demuysere (BEL),Antonin Magne (FRA)
16,18 July,,Stage with mountain(s),102 km (63 mi),Charles Pelissier (FRA),Antonin Magne (FRA)
17,19 July,,Stage with mountain(s),230 km (140 mi),Max Bulla (AUT),Antonin Magne (FRA)
18,20 July,,Stage with mountain(s),204 km (127 mi),Jef Demuysere (BEL),Antonin Magne (FRA)
19,21 July,,Stage with mountain(s),282 km (175 mi),Rafaele di Paco (ITA),Antonin Magne (FRA)
20,22 July,,Stage with mountain(s),209 km (130 mi),Andre Leducq (FRA),Antonin Magne (FRA)
21,23 July,,Plain stage,192 km (119 mi),Rafaele di Paco (ITA),Antonin Magne (FRA)
22,24 July,,Plain stage,159 km (99 mi),Raffaele di Paco (ITA),Antonin Magne (FRA)
23,25 July,,Plain stage,271 km (168 mi),Gaston Rebry (BEL),Antonin Magne (FRA)
24,26 July,,Plain stage,313 km (194 mi),Charles Pelissier (FRA),Antonin Magne (FRA)
