date,race name,location,uci rating,winner,team
,La Tropicale Amissa Bongo,Gabon,2.2,Frederic Guesdon (FRA),Française des Jeux
,Tour d'Egypte,Egypt,2.2,Waylon Woolcock (RSA),South Africa (national team)
16 February,GP of Sharm el-Sheikh,Egypt,1.2,Ján Šipeky (SVK),Dukla Trenčin-Merida
,Tour du Cameroun,Cameroon,2.2,Flavien Chipault (FRA),Leboulou
,Giro del Capo,South Africa,2.2,Alexander Efimkin (RUS),Barloworld
,Tour of Libya,Libya,2.2,Ahmed Mohamed Ali (LBA),Libya (national team)
8 April,Grand Prix de la ville de Tunis,Tunisia,1.2,Ahmed Mraihi (TUN),Tunisia (national team)
,Tour de la Pharmacie Centrale de Tunisie,Tunisia,2.2,Hassen Ben Nasser (TUN),Pharmacie Centrale
,Boucle du Coton,Burkina Faso,2.2,Saïdou Rouamba (BUR),Burkina Faso (national team)
,Tour du Maroc,Morocco,2.2,Nicholas White (RSA),South Africa (national team)
,Tour du Senegal,Senegal,2.2,Adil Jelloul (MAR),FRMC-Maroc
16 September,Dome 2 Dome Cycling Spectacular,South Africa,1.2,Jaco Venter (RSA),Team Neotel
