date,time,opponent,site,tv,attendance
11/03/2012*,7:30 PM,Central Missouri,"Dunn Center • Clarksville, TN",,
11/09/2012*,7:00 PM,Samford,"Dunn Center • Clarksville, TN",,2315.0
11/13/2012*,7:00 PM,at WKU,"E. A. Diddle Arena • Bowling Green, KY (Cancún Challenge)",,4160.0
11/17/2012*,1:00 PM,at DePaul,"Allstate Arena • Rosemont, IL (Cancún Challenge)",,7398.0
11/20/2012*,12:30 PM,vs. Western Carolina,"Moon Palace Resort • Cancún, Mexico (Cancún Challenge)",,902.0
11/21/2012*,3:00 PM,,"Moon Palace Resort • Cancún, Mexico (Cancún Challenge)",,302.0
11/28/2012*,7:00 PM,Berea,"Dunn Center • Clarksville, TN",,2023.0
12/01/2012*,7:30 PM,Fairfield,"Dunn Center • Clarksville, TN",,2208.0
12/05/2012*,7:00 PM,Oakland City,"Dunn Center • Clarksville, TN",,2012.0
12/08/2012*,12:00 PM,at Memphis,"FedExForum • Memphis, TN",,15249.0
12/16/2012*,2:05 PM,at Arkasnas State,"Convocation Center • Jonesboro, AR",,2652.0
12/18/2012*,7:00 PM,Lipscomb,"Dunn Center • Clarksville, TN",,2498.0
12/22/2012*,2:00 PM,at Illinois State,"Redbird Arena • Normal, IL",,5119.0
12/28/2012*,3:30 PM,vs. Utah Valley,"McKenzie Arena • Chattanooga, TN (Dr. Pepper Classic)",,2568.0
12/29/2012*,3:30 PM,vs. High Point,"McKenzie Arena • Chattanooga, TN (Dr. Pepper Classic)",,2534.0
01/03/2013,7:00 PM,at Southeast Missouri State,"Show Me Center • Cape Girardeau, MO",,1845.0
01/05/2013,6:20 PM,,"Skyhawk Arena • Martin, TN",,2578.0
01/09/2013,7:00 PM,Morehead State,"Dunn Center • Clarksville, TN",,2004.0
01/12/2013,7:30 PM,Murray State,"Dunn Center • Clarksville, TN",ESPN3,4718.0
01/17/2013,7:00 PM,SIU Edwardsville,"Dunn Center • Clarksville, TN",,2014.0
01/19/2013,7:30 PM,Eastern Illinois,"Dunn Center • Clarksville, TN",,2517.0
01/24/2013,7:00 PM,at Jacksonville State,"Pete Mathews Coliseum • Jacksonville, AL",,1883.0
01/26/2013,7:30 PM,at Tennessee Tech,"Eblen Center • Cookeville, TN",,2459.0
02/02/2013,12:00 PM,at Murray State,"CFSB Center • Murray, KY",ESPNU,6111.0
02/07/2013,7:00 PM,Tennessee State,"Dunn Center • Clarksville, TN",,2186.0
02/09/2013,7:30 PM,Belmont,"Dunn Center • Clarksville, TN",,4097.0
02/14/2013,7:00 PM,at Eastern Illinois,"Lantz Arena • Charleston, IL",,444.0
02/16/2013,7:00 PM,at SIU Edwardsville,"Vadalabene Center • Edwardsville, IL",,2436.0
02/20/2013,6:00 PM,at Eastern Kentucky,"Alumni Coliseum • Richmond, KY",,3400.0
02/23/2013*,3:00 PM,at Liberty,"Vines Center • Lynchburg, VA (BracketBusters)",,2678.0
02/28/2013,7:00 PM,Southeast Missouri State,"Dunn Center • Clarksville, TN",,1920.0
03/02/2013,7:30 PM,,"Dunn Center • Clarksville, TN",,2408.0
