city,county,population (2011),population (2002),altitude (m),year status granted* or first attested
Bucharest,-,1883425,1926334,85.0,1459
Cluj-Napoca,Cluj,324576,317953,360.0,1316*
Timișoara,Timiș,319279,317660,90.0,1342*
Iași,Iași,290422,320888,95.0,1408
Constanța,Constanța,283872,310471,25.0,260 BC
Craiova,Dolj,269506,302601,100.0,1475
Brașov,Brașov,253200,284596,625.0,1235
Galați,Galați,249432,298861,55.0,1445
Ploiești,Prahova,209945,232527,150.0,1596
Oradea,Bihor,196367,206614,150.0,1113
Brăila,Brăila,180302,216292,20.0,1368
Arad,Arad,159074,172824,107.0,1028
Pitești,Argeș,155383,168458,287.0,1388
Sibiu,Sibiu,147245,154892,415.0,1366
Bacău,Bacău,144307,175500,165.0,1408
Târgu Mureș,Mureș,134290,149577,330.0,1332*
Baia Mare,Maramureș,123738,137976,225.0,1329
Buzău,Buzău,115494,133116,95.0,1431
Botoșani,Botoșani,106847,115344,130.0,1439
Satu Mare,Satu Mare,102411,115630,123.0,1213
Râmnicu Vâlcea,Vâlcea,98776,107656,250.0,1388
Drobeta-Turnu Severin,Mehedinți,92617,104035,65.0,121 AD/1833*
Suceava,Suceava,92121,106138,325.0,1388
Piatra Neamț,Neamț,85055,105499,345.0,1491
Târgu Jiu,Gorj,82504,96562,205.0,
Târgoviște,Dâmbovița,79610,89429,280.0,
Focșani,Vrancea,79315,103219,55.0,1575
Bistrița,Bistrița-Năsăud,75076,81467,360.0,1349*
Tulcea,Tulcea,73707,92762,30.0,
Reșița,Caraș-Severin,73282,83985,245.0,1925*
Slatina,Olt,70293,79171,135.0,1368
Călărași,Călărași,65181,70039,13.0,1534
Alba Iulia,Alba,63536,66369,330.0,1097
Giurgiu,Giurgiu,61353,69587,,1395
Deva,Hunedoara,61123,69390,,1269
Hunedoara,Hunedoara,60525,71380,240.0,
Zalău,Sălaj,56202,63305,,1473*
Sfântu Gheorghe,Covasna,56006,61512,,1332/1832*
Bârlad,Vaslui,55837,69183,,
Vaslui,Vaslui,55407,70267,,
Roman,Neamț,50713,69483,,
Turda,Cluj,47744,55770,,1075
Mediaș,Sibiu,47204,55203,,1359*
Slobozia,Ialomița,45891,52677,,
Alexandria,Teleorman,45434,50591,,1840*
Voluntari,Ilfov,42944,30016,,2004*
Lugoj,Timiș,40361,44571,,
Medgidia,Constanța,39780,43867,,
Onești,Bacău,39172,51681,,1956*
Miercurea Ciuc,Harghita,38966,41852,,
Sighetu Marmației,Maramureș,37640,41246,,
Petroșani,Hunedoara,37160,45447,,1930*
Mangalia,Constanța,36364,40037,,
Tecuci,Galați,34871,42012,,
Odorheiu Secuiesc,Harghita,34257,36926,,
Râmnicu Sărat,Buzău,33843,38805,,
