date,opponents,h/a,scorers,attendance
27 August 1921,Everton,A,,30000
29 August 1921,West Bromwich Albion,H,"Partridge, Robinson",20000
3 September 1921,Everton,H,"Harrison, Spence",25000
7 September 1921,West Bromwich Albion,A,,15000
10 September 1921,Chelsea,A,,35000
17 September 1921,Chelsea,H,,28000
24 September 1921,Preston North End,A,"Lochhead, Partridge",25000
1 October 1921,Preston North End,H,Spence,30000
8 October 1921,Tottenham Hotspur,A,"Sapsford, Spence",35000
15 October 1921,Tottenham Hotspur,H,"Sapsford, Spence",30000
22 October 1921,Manchester City,A,Spence,24000
29 October 1921,Manchester City,H,Spence (3),56000
5 November 1921,Middlesbrough,H,"Lochhead, Sapsford, Spence",30000
12 November 1921,Middlesbrough,A,,18000
19 November 1921,Aston Villa,A,Spence,30000
26 November 1921,Aston Villa,H,Henderson,33000
3 December 1921,Bradford City,A,Spence,15000
10 December 1921,Bradford City,H,Henderson,9000
17 December 1921,Liverpool,A,Sapsford,40000
24 December 1921,Liverpool,H,,30000
26 December 1921,Burnley,H,,15000
27 December 1921,Burnley,A,"Lochhead, Sapsford",10000
31 December 1921,Newcastle United,A,,20000
2 January 1922,Sheffield United,A,,18000
14 January 1922,Newcastle United,H,,20000
21 January 1922,Sunderland,A,Sapsford,10000
28 January 1922,Sunderland,H,"Lochhead, Sapsford, Spence",18000
11 February 1922,Huddersfield Town,H,Spence,30000
18 February 1922,Birmingham,A,Spence,20000
25 February 1922,Birmingham,H,Sapsford,35000
27 February 1922,Huddersfield Town,A,Sapsford,30000
11 March 1922,Arsenal,H,Spence,30000
18 March 1922,Blackburn Rovers,H,,30000
25 March 1922,Blackburn Rovers,A,,15000
1 April 1922,Bolton Wanderers,H,,28000
5 April 1922,Arsenal,A,Lochhead,25000
8 April 1922,Bolton Wanderers,A,,28000
15 April 1922,Oldham Athletic,H,,30000
17 April 1922,Sheffield United,H,"Harrison, Lochhead, Partridge",28000
22 April 1922,Oldham Athletic,A,Lochhead,30000
29 April 1922,Cardiff City,H,Partridge,18000
6 May 1922,Cardiff City,A,Lochhead,16000
