Date,Race Name,Location,UCI Rating,Winner,Team
6 January,Copa America de Ciclismo,Brazil,1.2,Francisco Chamorro (ARG),Funvic Brasilinvest-São Jose dos Campos
,Vuelta al Táchira,Venezuela,2.2,Yeison Delgado (VEN),Kino Táchira-Drodinica
,Tour de San Luis,Argentina,2.1,Daniel Diaz (ARG),San Luis Somos Todos
,Vuelta a Guatemala,Guatemala,2.2,Óscar Sánchez (COL),GW Shimano
,Tour of the Gila,United States,2.2,Philip Deignan (IRL),UnitedHealthcare
2 May,,Mexico,CC,Carlos Oyarzun (CHI),Chile national team
5 May,,Mexico,CC,Jonathan Paredes (COL),Colombia national team
,Tour of California,United States,2.HC,Tejay Van Garderen (USA),BMC Racing Team
2 June,The Philly Cycling Classic,United States,1.2,Kiel Reijnen (USA),UnitedHealthcare
,Coupe des Nations Ville Saguenay,Canada,2.Ncup,Sondre Enger (NOR),Norway national team
,Vuelta a Colombia,Colombia,2.2,Óscar Sevilla (ESP),EPM-UNE
,Tour de Beauce,Canada,2.2,Nathan Brown (USA),Bontrager Cycling Team
7 July,Tour de Delta,Canada,1.2,Steve Fisher (USA),Hagens Berman Cycling
,Vuelta a Venezuela,Venezuela,2.2,Carlos Jose Ochoa (VEN),Androni Giocattoli-Venezuela
,Tour of Elk Grove,United States,2.1,Elia Viviani (ITA),Cannondale
,Tour of Utah,United States,2.1,Tom Danielson (USA),Garmin-Sharp
,Ruta del Centro,Mexico,2.2,Victor Garcia (ESP),Depredadores PBG Design
,Vuelta al Sur de Bolivia,Bolivia,2.2,Óscar Soliz (BOL),Pio Rico
,USA Pro Cycling Challenge,United States,2.HC,Tejay Van Garderen (USA),BMC Racing Team
,Tour do Rio,Brazil,2.2,Óscar Sevilla (ESP),EPM-UNE
,Tour of Alberta,Canada,2.1,Rohan Dennis (AUS),Garmin-Sharp
7 September,Bucks County Classic,United States,1.2,Kiel Reijnen (USA),UnitedHealthcare
