Name,Season(s),Position(s),Notes
Omar Daal,,Pitcher,
Babe Dahlgren,1943,First baseman,.287 batting average 5 home runs 56 runs batted in
Sam Dailey,1929,Pitcher,
Ed Daily,,Outfielder Pitcher,
Clay Dalrymple,,Catcher,.234 batting average 50 home runs 312 runs batted in
Tony Daniels,1945,Second baseman,.200 batting average 2 triples 10 runs batted in
Alvin Dark,1960,Third baseman,.242 batting average 3 home runs 14 runs batted in
George Darrow,1934,Pitcher,
Darren Daulton§,,Catcher,.245 batting average 134 home runs 567 runs batted in
Curt Davis,,Pitcher,
Dick Davis,,Right fielder,.311 batting average 4 home runs 26 runs batted in
Dixie Davis,1918,Pitcher,
Jacke Davis,1962,Left fielder,.213 batting average 1 home run 6 runs batted in
Kane Davis,2007,Pitcher,
Kiddo Davis,1932 1934,Center fielder,.302 batting average 11 triples 105 runs batted in
Mark Davis,,Pitcher,
Spud Davis,,Catcher,.321 batting average 53 home runs 363 runs batted in
Bill Dawley,1988,Pitcher,
Bill Day,,Pitcher,
Justin De Fratus,2011,Pitcher,
Valerio de los Santos,2003,Pitcher,
Wayland Dean,,Pitcher,
Art Decatur,,Pitcher,
Harry Decker,,Second baseman,.204 batting average 1 double 4 runs batted in
Pep Deininger,,Center fielder,.260 batting average 9 doubles 16 runs batted in
Bill Deitrick,,Left fielder Shortstop,.198 batting average 6 doubles 7 runs batted in
Iván DeJesús,,Shortstop,.249 batting average 15 triples 139 runs batted in
Jose DeJesús,,Pitcher,
Bobby Del Greco,,Center fielder,.240 batting average 12 home runs 37 runs batted in
Garton del Savio,1943,Shortstop,.091 batting average 12 plate appearances 1 walk
Ed Delahanty§,,Left fielder,.348 batting average 442 doubles* 157 triples* 87 home runs
Tom Delahanty,1894,Second baseman,.250 batting average 1 single 4 plate appearances
Jose DeLeon,,Pitcher,
Eddie Delker,,Second baseman,.165 batting average 1 home run 8 runs batted in
David Dellucci,2006,Left fielder Right fielder,.292 batting average 13 home runs 39 runs batted in
Al Demaree,,Pitcher,
Don Demeter,,Outfielder Third baseman,.276 batting average 71 home runs 258 runs batted in
Tod Dennehey,1923,Left fielder,.292 batting average 2 doubles 2 runs batted in
Jerry Denny,1891,First baseman Third baseman,.288 batting average 1 double 11 runs batted in
John Denny,,Pitcher,
Mike DePangher,1884,Catcher,.200 batting average 2 singles 11 plate appearances
Bob Dernier,,Center fielder Right fielder,.241 batting average 7 home runs 60 runs batted in
Jim Deshaies,1995,Pitcher,
Mickey Devine,1918,Catcher,.125 batting average 1 double 8 plate appearances
Jim Devlin,1887,Pitcher,
Josh Devore,,Left fielder Center fielder,.293 batting average 3 doubles 12 runs batted in
Bo Diaz,,Catcher,.256 batting average 36 home runs 174 runs batted in
Murry Dickson,,Pitcher,
Dutch Dietz,1943,Pitcher,
Gordon Dillard,1989,Pitcher,6.75 earned run average 3 runs allowed 2 strikeouts
Pickles Dillhoefer,1918,Catcher,.091 batting average 1 singles 2 stolen bases
Vince DiMaggio,,Center fielder,.255 batting average 19 home runs 85 runs batted in
Kerry Dineen,1978,Left fielder,.250 batting average 1 double 9 plate appearances
Vance Dinges,,Outfielder,.291 batting average 2 home runs 46 runs batted in
Ron Diorio,,Pitcher,3.10 earned run average 11 strikeouts 7 walks
Glenn Dishman,1996,Pitcher,7.71 earned run average 3 strikeouts 2 walks
Greg Dobbs,,Third baseman,.261 batting average 29 home runs 130 runs batted in
Robert Dodd,1998,Pitcher,
John Dodge,,Third baseman,.126 batting average 1 double 3 runs batted in
Cozy Dolan,,Third baseman,.267 batting average 6 doubles 15 runs batted in
Joe Dolan,,Second baseman,.215 batting average 2 home runs 59 runs batted in
Deacon Donahue,,Pitcher,
Red Donahue,,Pitcher,
She Donahue,1904,Shortstop Third baseman,.215 batting average 4 doubles 14 runs batted in
Blix Donnelly,,Pitcher,
Alexander Donoghue,1891,Center fielder Shortstop,.318 batting average 1 double 2 runs batted in
Jerry Donovan,1906,Catcher,.199 batting average 4 doubles 15 runs batted in
Red Dooin,,Catcher,.241 batting average 10 home runs 335 runs batted in
Mickey Doolan,,Shortstop,.236 batting average 11 home runs 445 runs batted in
David Doster,1996 1999,Second baseman,.233 batting average 4 home runs 18 runs batted in
Klondike Douglass,,First baseman Catcher,.261 batting average 22 triples 197 runs batted in
Tommy Dowd,1897,Right fielder,.292 batting average 14 doubles 43 runs batted in
Ken Dowell,1987,Shortstop,.128 batting average 5 singles 1 run batted in
Tom Downey,1912,Third baseman,.292 batting average 1 home runs 23 runs batted in
Dave Downs,1972,Pitcher,
Tom Dowse,1892,Catcher,.185 batting average 10 hits 6 runs batted in
Conny Doyle,1883,Left fielder,.221 batting average 3 doubles 3 runs batted in
Denny Doyle,,Second baseman,.240 batting average 9 home runs 92 runs batted in
Jack Doyle,1904,First baseman,.220 batting average 1 home run 22 runs batted in
Solly Drake,1959,Left fielder,.145 batting average 1 double 3 runs batted in
Karl Drews,,Pitcher,
Monk Dubiel,1948,Pitcher,
Rob Ducey,,Left fielder,.232 batting average 15 home runs 62 runs batted in
Brandon Duckworth,,Pitcher,
Clise Dudley,,Pitcher,
Hugh Duffy,,Center fielder Left fielder,.287 batting average 3 doubles 8 runs batted in
Gus Dugas,1933,First baseman,.169 batting average 3 doubles 9 runs batted in
Oscar Dugey,,Second baseman,.193 batting average 8 doubles 10 runs batted in
Bill Duggleby,,Pitcher,
Mariano Duncan,,Second baseman Shortstop,.274 batting average 30 home runs 194 runs batted in
Vern Duncan,1913,Right fielder Left fielder,.417 batting average 1 double 1 run batted in
Lee Dunham,1926,First baseman,.250 batting average 1 run batted in 4 plate appearances
Davey Dunkle,,Pitcher,
Jack Dunn,,Pitcher,
Chad Durbin,,Pitcher,
J. D. Durbin,2007,Pitcher,
Ryne Duren,,Pitcher,
George Durning,1925,Right fielder,.357 batting average 5 hits 1 run batted in
Lenny Dykstra,,Center fielder,.289 batting average 51 home runs 251 runs batted in
