common name,district,hebrew,arabic,population (2009),area (km2),mayor
Acre,North,עכו,عكا,46300,13.533,Shimon Lancry
Afula,North,עפולה,العفولة,40500,26.909,Avi Elkabetz
Arad,South,ערד,عراد,23400,93.14,Tali Ploskov
Ariel,Judea & Samaria (West Bank),אריאל,أريأل,17600,14.677,Eliyahu Shaviro
Ashdod,South,אשדוד,أشدود,206400,47.242,Yehiel Lasri
Ashkelon,South,אשקלון,عسقلان,111900,47.788,Benny Vaknin
Baqa-Jatt,Haifa,באקה-ג'ת,باقة جت,34300,16.392,Yitzhak Veled
Bat Yam,Tel Aviv,בת ים,بات يام,130000,8.167,Shlomo Lahiani
Beersheba,South,באר שבע,بئر السبع,197300,52.903,Rubik Danilovich
Beit She'an,North,בית שאן,بيسان,16900,7.33,Jacky Levi
Beit Shemesh,Jerusalem,בית שמש,بيت شيمش,77100,34.259,Moshe Abutbul
Beitar Illit,Judea & Samaria (West Bank),ביתר עילית,بيتار عيليت,35000,6.801,Meir Rubenstein
Bnei Brak,Tel Aviv,בני ברק,بني براك,154400,7.087999999999999,Ya'akov Asher
Dimona,South,דימונה,ديمونة,32400,29.877,Meir Cohen
Eilat,South,אילת,إيلات,47400,84.789,Meir Yitzhak Halevi
El'ad,Center,אלעד,أيلعاد,36300,2.756,Yitzhak Idan
Giv'atayim,Tel Aviv,גבעתיים,جفعاتايم,53000,3.2460000000000004,Ran Kunik
Giv'at Shmuel,Center,גבעת שמואל,,21800,2.579,Yossi Brodny
Hadera,Haifa,חדרה,الخضيرة,80200,49.359,Haim Avitan
Haifa,Haifa,חיפה,حيفا,265600,63.666,Yona Yahav
Herzliya,Tel Aviv,הרצליה,هرتسليا,87000,21.585,Yehonatan Yassur
Hod HaSharon,Center,הוד השרון,هود هشارون,47200,21.585,Hai Adiv
Holon,Tel Aviv,חולון,حولون,184700,18.927,Moti Sasson
Jerusalem,Jerusalem,ירושלים,"أورشليم, القدس",815600,125.156,Nir Barkat
Karmiel,North,כרמיאל,كرميئيل,44100,19.188,Adi Eldar
Kafr Qasim,Center,כפר קאסם,كفر قاسم,18800,8.745,Sami Issa
Kfar Saba,Center,כפר סבא,كفار سابا,83600,14.169,Yehuda Ben-Hemo
Kiryat Ata,Haifa,קריית אתא,كريات آتا,50700,16.706,Ya'akov Peretz
Kiryat Bialik,Haifa,קריית ביאליק,كريات بياليك,37300,8.177999999999999,Eli Dokursky
Kiryat Gat,South,קריית גת,كريات جات,47400,16.302,Aviram Dahari
Kiryat Malakhi,South,קריית מלאכי,كريات ملاخي,20600,4.632,Motti Malka
Kiryat Motzkin,Haifa,קריית מוצקין,كريات موتسكين,38000,3.778,Haim Zuri
Kiryat Ono,Tel Aviv,קריית אונו,كريات أونو,31000,4.112,Yossi Nishri
Kiryat Shmona,North,קריית שמונה,كريات شمونة,23100,14.228,Nissim Malka
Kiryat Yam,Haifa,קריית ים,كريات يام,37700,4.339,Shmuel Sisso
Lod,Center,לוד,اللد,69800,12.226,Yair Revivo
Ma'ale Adumim,Judea & Samaria (West Bank),מעלה אדומים,معلي أدوميم,34300,49.177,Benny Kashriel
Ma'alot-Tarshiha,North,מעלות-תרשיחא,معالوت ترشيحا,20600,6.8320000000000025,Shlomo Bohbot
Migdal HaEmek,North,מגדל העמק,مجدال هعيمق,23900,7.637,Eliyahu Barda
Modi'in Illit,Judea & Samaria (West Bank),מודיעין עילית,موديعين عيليت,46200,4.746,Ya'akov Gutterman
Modi'in-Maccabim-Re'ut,Center,מודיעין-מכבים-רעות,موديعين-مكابيم-ريعوت,72700,50.176,Haim Beebas
Nahariya,North,נהריה,نهاريا,51200,10.233,Jacky Sabag
Nazareth,North,נצרת,الناصرة,72200,14.123,Ali Salam
Nazareth Illit,North,נצרת עילית,الناصرة العليا,40800,32.521,Shimon Gapso
Nesher,Haifa,נשר,نيشر,23600,12.79,David Amar
Ness Ziona,Center,נס ציונה,نيس تسيونا,38100,15.579,Yossi Shvo
Netanya,Center,נתניה,نتانيا,183200,28.954,Miriam Feirberg
Netivot,South,נתיבות,نتيفوت,26700,5.626,Yehiel Zohar
Ofakim,South,אופקים,أوفاكيم,24000,10.273,Zvika Greengold
Or Akiva,Haifa,אור עקיבא,أور عكيفا,16100,3.539,Simha Yosipov
Or Yehuda,Tel Aviv,אור יהודה,أور يهودا,34400,5.141,David Yosef
Petah Tikva,Center,פתח תקווה,بيتح تكفا,209600,35.868,Itzik Braverman
Qalansawe,Center,קלנסווה,قلنسوة,18700,8.417,
Ra'anana,Center,רעננה,رعنانا,68300,14.878,Nahum Hofree
Rahat,South,רהט,رهط,51700,19.586,Talal al-Krenawi
Ramat Gan,Tel Aviv,רמת גן,رمات غان,145000,13.229,Yisrael Zinger
Ramat HaSharon,Tel Aviv,רמת השרון,رمات هشارون,40600,16.792,Yitzhak Rochberger
Ramla,Center,רמלה,الرملة,65800,11.854,Yoel Lavi
Rehovot,Center,רחובות,رحوفوت,112700,23.041,Rahamim Malul
Rishon LeZion,Center,ראשון לציון,ريشون لتسيون,228200,58.70399999999999,Dov Tzur
Rosh HaAyin,Center,ראש העין,رأس العين,38500,24.39,Moshe Sinai
Safed,North,צפת,صفد,29500,29.248,Ilan Shohat
Sakhnin,North,סח'נין,سخنين,25700,9.816,Mazen Ghnaim
Sderot,South,שדרות,سديروت,23700,4.472,David Buskila
Shefa-'Amr (Shfar'am),North,שפרעם,شفا عمرو,36200,19.766,Nahed Khazem
Tamra,North,טמרה,طمرة,28700,29.259,Abu el-Hija Adel
Tayibe,Center,טייבה,الطيبة,36500,18.662,Hemi Doron
Tel Aviv,Tel Aviv,תל אביב,تل أبيب يافا,403700,51.788,Ron Huldai
Tiberias,North,טבריה,طبريا,41300,10.872,Zohar Oved
Tira,Center,טירה,الطيرة,22600,11.894,Mamoun Abd al-Hay
Tirat Carmel,Haifa,טירת כרמל,طيرة الكرمل,18600,5.601,Aryeh Tal
Umm al-Fahm,Haifa,אום אל-פחם,أم الفحم,46100,22.253,Khaled Aghbariyya
Yavne,Center,יבנה,يبنة,33000,10.7,Zvi Gov-Ari
Yehud-Monosson,Center,יהוד-מונוסון,يهود مونوسون,26500,5.0139999999999985,Yossi Ben-David
Yokneam,North,יקנעם,يوقنعم,19100,7.39,Simon Alfasi
