date,opponents,h / a,scorers,attendance
26 August 1933,Plymouth Argyle,A,,25700
30 August 1933,Nottingham Forest,H,,16934
2 September 1933,Lincoln City,H,Green,16987
7 September 1933,Nottingham Forest,A,Stewart,10650
9 September 1933,Bolton Wanderers,H,Stewart,21779
16 September 1933,Brentford,A,"Brown (2), Frame, Hine",17180
23 September 1933,Burnley,H,"Dewar (4), Brown",18411
30 September 1933,Oldham Athletic,A,,22736
7 October 1933,Preston North End,H,Hine,22303
14 October 1933,Bradford Park Avenue,A,Hine,11033
21 October 1933,Bury,A,Byrne,15008
28 October 1933,Hull City,H,"Heywood (2), Green, Hine",16269
4 November 1933,Fulham,A,"Stewart, own goal",17049
11 November 1933,Southampton,H,Manley,18149
18 November 1933,Blackpool,A,Brown,14384
25 November 1933,Bradford City,H,"Dewar, own goal",20902
2 December 1933,Port Vale,A,"Black, Brown, Dewar",10316
9 December 1933,Notts County,H,Dewar,15564
16 December 1933,Swansea Town,A,Hine,6591
23 December 1933,Millwall,H,Dewar,12043
25 December 1933,Grimsby Town,H,Vose,29443
26 December 1933,Grimsby Town,A,"Byrne (2), Frame",15801
30 December 1933,Plymouth Argyle,H,,12206
6 January 1934,Lincoln City,A,Brown,6075
20 January 1934,Bolton Wanderers,A,Ball,11887
27 January 1934,Brentford,H,Ball,16891
3 February 1934,Burnley,A,"Cape (2), Green, Stewart",9906
10 February 1934,Oldham Athletic,H,"Cape, Green",24480
21 February 1934,Preston North End,A,Gallimore (2),9173
24 February 1934,Bradford Park Avenue,H,,13389
3 March 1934,Bury,H,"Ball, Gallimore",11176
10 March 1934,Hull City,A,Ball,5771
17 March 1934,Fulham,H,Ball,17565
24 March 1934,Southampton,A,,4840
30 March 1934,West Ham United,H,,29114
31 March 1934,Blackpool,H,"Cape, Hine",20038
2 April 1934,West Ham United,A,Cape,20085
7 April 1934,Bradford City,A,Cape,9258
14 April 1934,Port Vale,H,"Brown, McMillen",14777
21 April 1934,Notts County,A,,9645
28 April 1934,Swansea Town,H,Topping,16678
5 May 1934,Millwall,A,"Cape, Manley",24003
