Pos,Rider,Manufacturer,Laps,Time/Retired,Grid,Points
1,Manuel Poggiali,Gilera,25.0,41:18.211,1.0,25.0
2,Dani Pedrosa,Honda,25.0,+0.019,4.0,20.0
3,Steve Jenkner,Aprilia,25.0,+9.888,3.0,16.0
4,Lucio Cecchinello,Aprilia,25.0,+15.397,5.0,13.0
5,Simone Sanna,Aprilia,25.0,+15.452,8.0,11.0
6,Joan Olive,Honda,25.0,+15.486,20.0,10.0
7,Stefano Bianco,Aprilia,25.0,+15.549,11.0,9.0
8,Pablo Nieto,Aprilia,25.0,+16.218,2.0,8.0
9,Mika Kallio,Honda,25.0,+22.762,10.0,7.0
10,Mirko Giansanti,Honda,25.0,+22.839,16.0,6.0
11,Arnaud Vincent,Aprilia,25.0,+23.067,23.0,5.0
12,Andrea Ballerini,Honda,25.0,+23.134,18.0,4.0
13,Stefano Perugini,Italjet,25.0,+43.345,17.0,3.0
14,Jorge Lorenzo,Derbi,25.0,+43.973,7.0,2.0
15,Masao Azuma,Honda,25.0,+47.189,13.0,1.0
16,Jakub Smrž,Honda,25.0,+47.333,24.0,
17,Gianluigi Scalvini,Aprilia,25.0,+52.000,22.0,
18,Hector Barberá,Aprilia,25.0,+1:11.358,27.0,
19,Mattia Angeloni,Gilera,25.0,+1:11.488,29.0,
20,Alex Baldolini,Aprilia,25.0,+1:21.603,32.0,
21,Jaroslav Huleš,Aprilia,25.0,+1:21.681,15.0,
22,Julian Simon,Honda,25.0,+1:31.723,26.0,
23,Imre Toth,Honda,25.0,+1:31.794,31.0,
24,Leon Camier,Italjet,24.0,+1 Lap,33.0,
Ret,Chaz Davies,Aprilia,18.0,Retirement,21.0,
Ret,Michel Fabrizio,Gilera,14.0,Accident,19.0,
Ret,Youichi Ui,Derbi,13.0,Accident,6.0,
Ret,Alex de Angelis,Aprilia,13.0,Accident,12.0,
Ret,Ángel Rodriguez,Aprilia,4.0,Retirement,25.0,
Ret,Gino Borsoi,Aprilia,0.0,Accident,9.0,
Ret,Andrea Dovizioso,Honda,0.0,Accident,14.0,
Ret,Alessandro Brannetti,Honda,0.0,Accident,30.0,
Ret,Álvaro Bautista,Aprilia,0.0,Accident,28.0,
DNQ,Javier Machado,Honda,,,,
