outcome,no ,date,tournament,surface,partner,opponents in the final
Winner,1.0,12 March 1978,Dallas,Carpet,Martina Navratilova,Evonne Goolagong  Betty Stöve
Runner-up,1.0,1 October 1978,Atlanta,Carpet,Martina Navratilova,Françoise Durr  Virginia Wade
Runner-up,2.0,8 October 1978,Phoenix,Hard,Martina Navratilova,Tracy Austin  Betty Stöve
Winner,2.0,12 November 1978,Oldsmar,Hard,Martina Navratilova,Kerry Reid  Wendy Turnbull
Runner-up,3.0,18 February 1979,Los Angeles,Hard (i),Martina Navratilova,Rosemary Casals  Chris Evert
Winner,3.0,4 March 1979,Dallas,Carpet,Martina Navratilova,Rosemary Casals  Chris Evert
Winner,4.0,12 August 1979,Indianapolis,Clay,Kathy Jordan,Penny Johnson  Paula Smith
Runner-up,4.0,29 September 1979,Atlanta,Carpet,Ann Kiyomura,Betty Stöve  Wendy Turnbull
Winner,5.0,28 October 1979,Tampa,Hard,Virginia Ruzici,Ilana Kloss  Betty-Ann Stuart
Winner,6.0,25 November 1979,Brighton,Carpet,Ann Kiyomura,Ilana Kloss  Laura duPont
Runner-up,5.0,2 December 1979,Melbourne,Grass,Dianne Fromholtz,Billie Jean King  Wendy Turnbull
Runner-up,6.0,10 February 1980,Los Angeles,Hard (i),Kathy Jordan,Rosemary Casals  Martina Navratilova
Runner-up,7.0,24 February 1980,Detroit,Carpet,Kathy Jordan,Billie Jean King  Ilana Kloss
Winner,7.0,13 April 1980,Hilton Head,Clay,Kathy Jordan,Candy Reynolds  Paula Smith
Winner,8.0,7 June 1980,French Open,Clay,Kathy Jordan,Ivanna Madruga  Adriana Villagran
Winner,9.0,21 June 1980,Eastbourne,Grass,Kathy Jordan,Pam Shriver  Betty Stöve
Winner,10.0,5 July 1980,Wimbledon,Grass,Kathy Jordan,Rosemary Casals  Wendy Turnbull
Winner,11.0,20 July 1980,Montreal,Hard,Pam Shriver,Ann Kiyomura  Greer Stevens
Runner-up,8.0,27 July 1980,Richmond,Carpet,Pam Shriver,Billie Jean King  Martina Navratilova
Winner,12.0,10 August 1980,Indianapolis,Clay,Paula Smith,Virginia Ruzici  Renáta Tomanová
Winner,13.0,21 September 1980,Las Vegas,Hard (i),Kathy Jordan,Martina Navratilova  Betty Stöve
Runner-up,9.0,28 September 1980,Atlanta,Carpet,Kathy Jordan,Barbara Potter  Sharon Walsh
Runner-up,10.0,5 October 1980,Minneapolis,Carpet,Paula Smith,Ann Kiyomura  Candy Reynolds
Winner,14.0,26 October 1980,Brighton,Carpet,Kathy Jordan,Martina Navratilova  Betty Stöve
Runner-up,11.0,9 November 1980,Filderstadt,Hard (i),Kathy Jordan,Hana Mandliková  Betty Stöve
Runner-up,12.0,16 November 1980,Tampa,Hard,Paula Smith,Rosemary Casals  Candy Reynolds
Winner,15.0,25 January 1981,Cincinnati,Carpet,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,13.0,15 March 1981,Dallas,Carpet,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,14.0,21 June 1981,Eastbourne,Grass,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,15.0,3 July 1981,Wimbledon,Grass,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,16.0,16 August 1981,Richmond,Carpet,Kathy Jordan,Sue Barker  Ann Kiyomura
Runner-up,17.0,23 August 1981,Toronto,Hard,Candy Reynolds,Martina Navratilova  Pam Shriver
Winner,16.0,12 September 1981,US Open,Hard,Kathy Jordan,Rosemary Casals  Wendy Turnbull
Winner,17.0,25 October 1981,Brighton,Carpet,Barbara Potter,Mima Jaušovec  Pam Shriver
Runner-up,18.0,1 November 1981,Filderstadt,Hard (i),Barbara Potter,Mima Jaušovec  Martina Navratilova
Runner-up,19.0,29 November 1981,Sydney,Grass,Kathy Jordan,Martina Navratilova  Pam Shriver
Winner,18.0,5 December 1981,Australian Open,Grass,Kathy Jordan,Martina Navratilova  Pam Shriver
Winner,19.0,10 January 1982,"Washington, D.C.",Carpet,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,20.0,17 January 1982,Cincinnati,Carpet,Pam Shriver,Sue Barker  Ann Kiyomura
Runner-up,21.0,24 January 1982,Seattle,Carpet,Kathy Jordan,Rosemary Casals  Wendy Turnbull
Runner-up,22.0,14 February 1982,Kansas City,Carpet,Mary Lou Piatek,Barbara Potter  Sharon Walsh
Winner,20.0,7 March 1982,Los Angeles,Carpet,Kathy Jordan,Barbara Potter  Sharon Walsh
Winner,21.0,20 March 1982,Boston,Carpet,Kathy Jordan,Rosemary Casals  Wendy Turnbull
Runner-up,23.0,28 March 1982,New York City,Carpet,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,24.0,18 April 1982,Fort Worth,Clay,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,25.0,2 May 1982,Orlando,Clay,Kathy Jordan,Rosemary Casals  Wendy Turnbull
Winner,22.0,5 June 1982,French Open,Clay,Martina Navratilova,Rosemary Casals  Wendy Turnbull
Runner-up,26.0,20 June 1982,Eastbourne,Grass,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,27.0,3 July 1982,Wimbledon,Grass,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,28.0,24 October 1982,Filderstadt,Hard (i),Candy Reynolds,Martina Navratilova  Pam Shriver
Winner,23.0,21 November 1982,Brisbane,Grass,Billie Jean King,Claudia Kohde-Kilsch  Eva Pfaff
Runner-up,29.0,10 January 1983,"Washington, D.C.",Carpet,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,30.0,20 February 1983,Chicago,Carpet,Kathy Jordan,Martina Navratilova  Pam Shriver
Runner-up,31.0,20 March 1983,Boston,Carpet,Kathy Jordan,Jo Durie  Ann Kiyomura
Runner-up,32.0,3 April 1983,Tokyo,Carpet,Kathy Jordan,Billie Jean King  Sharon Walsh
Winner,24.0,24 April 1983,Orlando,Clay,Billie Jean King,Martina Navratilova  Pam Shriver
Runner-up,33.0,4 June 1983,French Open,Clay,Kathy Jordan,Rosalyn Fairbank  Candy Reynolds
Winner,25.0,22 April 1984,Amelia Island,Clay,Kathy Jordan,Anne Hobbs  Mima Jaušovec
Runner-up,34.0,7 July 1984,Wimbledon,Grass,Kathy Jordan,Martina Navratilova  Pam Shriver
Winner,26.0,31 March 1985,Palm Beach Gardens,Clay,Joanne Russell,Laura Arraya  Gabriela Sabatini
Runner-up,35.0,26 January 1986,Wichita,Carpet,Joanne Russell,Kathy Jordan  Candy Reynolds
Winner,27.0,9 March 1986,Hershey,Carpet,Candy Reynolds,Sandy Collins  Kim Sands
