rank,athlete,country,time,notes
,Nataliya Petrusyova,Soviet Union,1:24.10,OR
,Leah Poulos,United States,1:25.41,
,Sylvia Albrecht,East Germany,1:26.46,
4.0,Karin Enke,East Germany,1:26.66,
5.0,Beth Heiden,United States,1:27.01,
6.0,Annie Borckink,Netherlands,1:27.24,
7.0,Sylvia Burka,Canada,1:27.50,
8.0,Ann-Sofie Järnström,Sweden,1:28.10,
9.0,Sylvia Filipsson,Sweden,1:28.18,
10.0,Annette Carlen-Karlsson,Sweden,1:28.25,
11.0,Valentina Lalenkova,Soviet Union,1:28.27,
12.0,Bjørg Eva Jensen,Norway,1:28.55,
13.0,Sijtje van der Lende,Netherlands,1:28.72,
14.0,Sarah Docter,United States,1:28.80,
14.0,Haitske Valentijn-Pijlman,Netherlands,1:28.80,
16.0,Erwina Ryś-Ferens,Poland,1:28.82,
17.0,Miyoshi Kato,Japan,1:28.97,
18.0,Christa Rothenburger,East Germany,1:29.69,
19.0,Brenda Webster,Canada,1:29.84,
20.0,Irina Kuleshova-Kovrova,Soviet Union,1:29.94,
21.0,Monika Pflug,West Germany,1:30.13,
22.0,Makiko Nagaya,Japan,1:30.27,
23.0,Sigrid Smuda,West Germany,1:30.29,
24.0,Kathy Vogt,Canada,1:30.33,
25.0,Yuko Yaegashi-Ota,Japan,1:30.72,
26.0,Lee Nam-Sun,South Korea,1:31.30,
27.0,Cao Guifeng,China,1:31.74,
28.0,Anneli Repola,Finland,1:31.76,
29.0,Silvia Brunner,Switzerland,1:31.79,
30.0,Lee Seong-Ae,South Korea,1:32.04,
31.0,Zhang Li,China,1:32.20,
32.0,Shen Zhenshu,China,1:32.49,
33.0,Brigitte Flierl,West Germany,1:33.61,
34.0,Kim Yeong-Hui,South Korea,1:34.17,
35.0,Kim Ferran,Great Britain,1:34.19,
36.0,Marzia Peretti,Italy,1:35.66,
37.0,Mandy Horsepool,Great Britain,1:36.31,
