rank,mountain,height (m),height (ft),range,coordinates,prominence (m),parent mountain,first ascent,ascents (failed attempts) bef 2004
1.0,Mount Everest/ Sagarmatha/ Chomolungma,8848,29029,Mahalangur Himalaya,27°59′17″N 86°55′31″E﻿ / ﻿27.98806°N 86.92528°E,8848,none,1953,>>145 (121)
2.0,K2/Qogir/ Godwin Austen,8611,28251,Baltoro Karakoram,35°52′53″N 76°30′48″E﻿ / ﻿35.88139°N 76.51333°E,4017,Mount Everest,1954,45 (44)
3.0,Kangchenjunga,8586,28169,Kangchenjunga Himalaya,27°42′12″N 88°08′51″E﻿ / ﻿27.70333°N 88.14750°E *,3922,Mount Everest,1955,38 (24)
4.0,Lhotse,8516,27940,Mahalangur Himalaya,27°57′42″N 86°55′59″E﻿ / ﻿27.96167°N 86.93306°E,610,Mount Everest,1956,26 (26)
5.0,Makalu,8485,27838,Mahalangur Himalaya,27°53′23″N 87°5′20″E﻿ / ﻿27.88972°N 87.08889°E,2386,Mount Everest,1955,45 (52)
6.0,Cho Oyu,8188,26864,Mahalangur Himalaya,28°05′39″N 86°39′39″E﻿ / ﻿28.09417°N 86.66083°E,2340,Mount Everest,1954,79 (28)
7.0,Dhaulagiri I,8167,26795,Dhaulagiri Himalaya,28°41′48″N 83°29′35″E﻿ / ﻿28.69667°N 83.49306°E,3357,K2,1960,51 (39)
8.0,Manaslu,8163,26781,Manaslu Himalaya,28°33′00″N 84°33′35″E﻿ / ﻿28.55000°N 84.55972°E,3092,Cho Oyu,1956,49 (45)
9.0,Nanga Parbat,8126,26660,Nanga Parbat Himalaya,35°14′14″N 74°35′21″E﻿ / ﻿35.23722°N 74.58917°E,4608,Dhaulagiri,1953,52 (67)
10.0,Annapurna I,8091,26545,Annapurna Himalaya,28°35′44″N 83°49′13″E﻿ / ﻿28.59556°N 83.82028°E,2984,Cho Oyu,1950,36 (47)
11.0,Gasherbrum I/ Hidden Peak/K5,8080,26509,Baltoro Karakoram,35°43′28″N 76°41′47″E﻿ / ﻿35.72444°N 76.69639°E,2155,K2,1958,31 (16)
