Pos,No,Rider,Bike,Laps,Time,Grid,Points
1,93,Marc Márquez,Derbi,22.0,40:46.315,1,25.0
2,38,Bradley Smith,Aprilia,22.0,+4.638,3,20.0
3,44,Pol Espargaro,Derbi,22.0,+4.996,2,16.0
4,11,Sandro Cortese,Derbi,22.0,+45.366,5,13.0
5,7,Efren Vázquez,Derbi,22.0,+45.433,8,11.0
6,71,Tomoyoshi Koyama,Aprilia,22.0,+49.685,6,10.0
7,35,Randy Krummenacher,Aprilia,22.0,+49.735,14,9.0
8,14,Johann Zarco,Aprilia,22.0,+49.743,10,8.0
9,94,Jonas Folger,Aprilia,22.0,+49.775,12,7.0
10,99,Danny Webb,Aprilia,22.0,+53.115,16,6.0
11,26,Adrián Martin,Aprilia,22.0,+58.669,19,5.0
12,15,Simone Grotzkyj,Aprilia,22.0,+58.800,11,4.0
13,23,Alberto Moncayo,Aprilia,22.0,+1:02.050,13,3.0
14,78,Marcel Schrötter,Honda,22.0,+1:15.497,23,2.0
15,63,Zulfahmi Khairuddin,Aprilia,22.0,+1:16.029,18,1.0
16,84,Jakub Kornfeil,Aprilia,22.0,+1:26.441,28,
17,69,Louis Rossi,Aprilia,22.0,+1:33.613,24,
18,87,Luca Marconi,Aprilia,22.0,+1:36.186,25,
19,58,Joan Perello,Honda,22.0,+1:36.223,26,
20,60,Michael van der Mark,Lambretta,22.0,+1:36.340,27,
21,59,Johnny Rosell,Honda,22.0,+1:43.804,22,
22,72,Marco Ravaioli,Lambretta,22.0,+1:55.331,30,
23,56,Peter Sebestyen,Aprilia,21.0,+1 Lap,32,
Ret,40,Nicolás Terol,Aprilia,21.0,Accident,4,
Ret,39,Luis Salom,Aprilia,14.0,Retirement,15,
Ret,17,Eduard Lopez,Aprilia,11.0,Retirement,31,
Ret,55,Isaac Vinales,Aprilia,10.0,Accident,21,
Ret,50,Sturla Fagerhaug,Aprilia,7.0,Accident,17,
Ret,5,Alexis Masbou,Aprilia,5.0,Accident,9,
Ret,12,Esteve Rabat,Aprilia,0.0,Accident,7,
Ret,53,Jasper Iwema,Aprilia,0.0,Accident,20,
DNS,32,Lorenzo Savadori,Aprilia,,Did not start,29,
