sr no ,train no ,name of the train,arrival,departure,day
1.0,18238,Chhatisgarh Express,01:23,01:25,Daily
2.0,12160,Jabalpur-Amravati SF,04:51,04:53,Daily
3.0,51294,Amla-Nagpur Pass,06:39,06:40,Daily
4.0,12913,Indore-Nag Tri. Exp,06:49,06:51,M
5.0,19301,Indore-Yashwantpur Exp,07:20,07:25,M
6.0,12406,Nizamuddin-Bhusaval Gondwana Exp,07:25,07:27,"M,St"
7.0,12410,Nizamuddin-Raigarh Gondwana Exp,07:25,07:27,"S,M,Tu,W,T,F"
8.0,51151,New Amravati-Narkhed Pass,08:30,N/a,Daily
9.0,22112,Nagpur-Bhusaval SF,08:37,08:39,"M,T,St"
10.0,11045,Dikshsabhoomi Exp,08:53,08:55,St
11.0,16359,Ernakulam-Patna Exp,08:53,08:55,M
12.0,51829,Nagpur-Agra Pass,09:41,09:42,Daily
13.0,12861,Visakapatnam-Nizamuddin,10:43,10:44,Daily
14.0,12721,Dakshin Express,10:43,10:44,Daily
15.0,12616,Grand Trunk(GT) Exp,10:49,10:51,Daily
16.0,19714,Sec-Jaipur Exp,11:58,12:00,Tu
17.0,11203,Nagpur-Jaipur Weekly Express,13:03,13:05,T
18.0,12615,Grand Trunk(GT) Exp,13:30,13:32,Daily
19.0,12405,Bhusaval-H.Nizamuddin Gondwana Exp,14:08,14:10,"S,Tu,"
20.0,12409,Raigarh-H.Nizamuddin- Gondwana Exp,14:08,14:10,"M,W,T,F,St"
21.0,16360,Patna-Ernakulam Exp,14:08,14:10,W
22.0,11046,Dikshsabhoomi Exp,14:09,14:10,Tu
23.0,22111,Bhusaval_Nagpur SF,14:36,14:38,"S,W,F"
24.0,19713,Jaipur-Sec Exp,15:48,15:50,Tu
25.0,12722,Dakshin Express,16:00,16:02,Daily
26.0,51183,Bhusaval-Narkhed Pass,16:00,N/a,Daily
27.0,11204,Jaipur-Nagpur Exp,17:24,17:25,St
28.0,19302,Yashwantpur-Indore Exp,17:35,17:40,W
29.0,51830,Agra-Nagpur Pass,18:04,18:05,Daily
30.0,51293,Nagpur-Amla Pass,19:55,20:00,Daily
31.0,12914,Nagpur-Indore Tri. Exp,20:08,20:10,M
32.0,12159,Amravati-Jabalpur SF,22:30,22:32,Daily
33.0,18237,Chhatisgarh Express,23:09,23:10,Daily
34.0,51152,Narkhed-New Amravati Pass,N/a,18:00,Daily
35.0,51184,Bhusaval-Narkhed Pass,N/a,09:00,Daily
