tour,official title,venue,city,date start,date finish,prize money usd,report
1,Korea Open Super Series Premier,Seoul National University Gymnasium,Seoul,January 8,January 13,1000000,Report
2,Malaysia Open Super Series,Bukit Kiara Sports Complex,Kuala Lumpur,January 15,January 20,400000,Report
3,All England Super Series Premier,National Indoor Arena,Birmingham,March 5,March 10,400000,Report
4,India Super Series,Siri Fort Indoor Stadium,New Delhi,April 23,April 28,200000,Report
5,Indonesia Super Series Premier,Istora Senayan,Jakarta,June 11,June 16,700000,Report
6,Singapore Super Series,Singapore Indoor Stadium,Singapore,June 18,June 23,200000,Report
7,China Masters Super Series,Olympic Sports Centre Xincheng Gymnasium,Changzhou,September 10,September 15,250000,Report
8,Japan Super Series,Yoyogi National Gymnasium,Tokyo,September 17,September 22,200000,Report
9,Denmark Super Series Premier,Odense Idrætspark,Odense,October 15,October 20,400000,Report
10,French Super Series,Stade Pierre de Coubertin,Paris,October 22,October 27,200000,Report
11,China Open Super Series Premier,Yuanshen Sports Centre Stadium,Shanghai,November 12,November 17,350000,Report
12,Hong Kong Super Series,Hong Kong Coliseum,Kowloon,November 19,November 24,250000,Report
13,Super Series Masters Finals,Kuala Lumpur Badminton Stadium,Kuala Lumpur,December 11,December 15,500000,Report
