Year,Tournament,Surface,Round,Winner,Score
1991,Basel,Hard,S,John McEnroe,
1989,Toulouse,Hard,F,Jimmy Connors,
1987,Montreal / Toronto,Hard,Q,Jimmy Connors,
1986,San Francisco,Carpet,F,John McEnroe,
1985,Montreal / Toronto,Hard,S,John McEnroe,
1985,Chicago,Carpet,F,John McEnroe,W/O
1984,US Open,Hard,S,John McEnroe,
1984,Montreal / Toronto,Hard,S,John McEnroe,
1984,Wimbledon,Grass,F,John McEnroe,
1984,"London, Queen's Club",Grass,S,John McEnroe,
1984,Roland Garros,Clay,S,John McEnroe,
1984,Dallas WCT,Carpet,F,John McEnroe,
1983,Wembley,Carpet,F,John McEnroe,
1983,Cincinnati,Hard,S,John McEnroe,
1983,"London, Queen's Club",Grass,F,Jimmy Connors,
1982,San Francisco,Carpet,F,John McEnroe,
1982,Wimbledon,Grass,F,Jimmy Connors,
1982,"London, Queen's Club",Grass,F,Jimmy Connors,
1982,Philadelphia,Carpet,F,John McEnroe,
1981,New York City,Carpet,RR,John McEnroe,
1981,Wembley,Carpet,F,Jimmy Connors,
1980,US Open,Hard,S,John McEnroe,
1980,Wimbledon,Grass,S,John McEnroe,
1980,Dallas WCT,Carpet,F,Jimmy Connors,
1980,Memphis,Carpet,F,John McEnroe,
1980,Philadelphia,Carpet,F,Jimmy Connors,
1979,US Open,Hard,S,John McEnroe,
1979,Dallas WCT,Carpet,S,John McEnroe,
1979,Las Vegas,Hard,S,Jimmy Connors,
1979,Pepsi Grand Slam,Clay,S,Jimmy Connors,
1978,Masters,Carpet,RR,John McEnroe,
1978,US Open,Hard,S,Jimmy Connors,
1978,Indianapolis,Clay,Q,Jimmy Connors,
1977,Boston,Clay,R32,Jimmy Connors,
1977,Wimbledon,Grass,S,Jimmy Connors,
