week,date,opponent,result,record,game site
1,"March 31, 2006",Louisville Fire,,,Wachovia Arena
2,Bye,Bye,Bye,Bye,Bye
3,"April 14, 2006",Albany Conquest,,,Times Union Center
4,"April 21, 2006",South Georgia Wildcats,,,Wachovia Arena
5,"April 29, 2006",Manchester Wolves,,,Verizon Wireless Arena
6,"May 5, 2006",Green Bay Blizzard,,,Wachovia Arena
7,"May 13, 2006",Tulsa Talons,,,Wachovia Arena
8,"May 20, 2006",Macon Knights,,,Macon Coliseum
9,"May 27, 2006",Manchester Wolves,,,Wachovia Arena
10,"June 3, 2006",Louisville Fire,,,Freedom Hall
11,"June 10, 2006",Albany Conquest,,,Times Union Center
12,"June 17, 2006",Quad City Steamwheelers,,,Wachovia Arena
13,"June 24, 2006",Green Bay Blizzard,,,Resch Center
14,Bye,Bye,Bye,Bye,Bye
15,"July 8, 2006",Florida Firecats,,,Wachovia Arena
16,"July 14, 2006",Manchester Wolves,,,Verizon Wireless Arena
17,"July 22, 2006",Quad City Steamwheelers,,,i wireless Center
18,"July 29, 2006",Albany Conquest,,,Wachovia Arena
