championship,location,category,surface,prev result,prev points,new points,outcome
Brisbane International,Brisbane (AUS),WTA Premier,Hard,SF,200,305,
Australian Open,Melbourne (AUS),Grand Slam,Hard,W,2000,430,
Qatar Total Open,Doha (QAT),WTA Premier 5,Hard,W,900,0,Withdrew due to left foot injury
Indian Wells,Indian Wells (USA),WTA Premier Mandatory,Hard,QF,250,45,
Sony Open Tennis,Miami (USA),WTA Premier Mandatory,Hard,DNP,0,0,Withdrew due to left foot injury
Mutua Madrid Masters,Madrid (ESP),WTA Premier Mandatory,Clay,2R,60,TBD,Pending
Internazionali BNL d'Italia,Rome (ITA),WTA Premier 5,Clay,F,700,TBD,Pending
French Open,Paris (FRA),Grand Slam,Clay,SF,900,TBD,Pending
Wimbledon,London (GBR),Grand Slam,Grass,2R,100,TBD,Pending
Rogers Cup,Toronto (CAN),WTA Premier 5,Hard,DNP,0,TBD,Pending
Western and Southern Open,Cincinnati (USA),WTA Premier 5,Hard,W,900,TBD,Pending
US Open,New York (USA),Grand Slam,Hard,F,1400,TBD,Pending
Toray Pan Pacific Open,Wuhan (CHN),WTA Premier 5,Hard,2R,60,TBD,Pending
China Open,Beijing (CHN),WTA Premier Mandatory,Hard,1R,5,TBD,Pending
WTA Tour Championships,Singapore (SIN),WTA Tour Championships,Hard (i),RR,400,TBD,Pending
