Rank,Athlete,Nationality,Time
,Moses Tanui,Kenya,1:01:45
,Paul Yego,Kenya,1:01:46
,Charles Tangus,Kenya,1:01:50
4.0,Antonio Serrano,Spain,1:01:56
5.0,Josiah Thugwane,South Africa,1:02:28
6.0,Delmir dos Santos,Brazil,1:02:32
7.0,Herder Vázquez,Colombia,1:02:32
8.0,Nobuyuki Sato,Japan,1:02:36
9.0,Yoshifumi Miyamoto,Japan,1:02:38
10.0,Joaquim Pinheiro,Portugal,1:02:40
11.0,Bartolome Serrano,Spain,1:02:41
12.0,Vincenzo Modica,Italy,1:02:48
13.0,Danilo Goffi,Italy,1:02:49
14.0,Oleg Strizhakov,Russia,1:02:54
15.0,Giacomo Leone,Italy,1:02:54
16.0,Godfrey Muriuki,Kenya,1:02:59
17.0,Pasi Mattila,Finland,1:03:01
18.0,Muhammed Nazipov,Russia,1:03:02
19.0,Pablo Sierra Hermoso,Spain,1:03:14
20.0,Philippe Remond,France,1:03:16
21.0,Rainer Wachenbrunner,Germany,1:03:18
22.0,Fabián Roncero,Spain,1:03:21
23.0,Meck Mothuli,South Africa,1:03:25
24.0,Andre Ramos,Brazil,1:03:26
25.0,Masatoshi Ibata,Japan,1:03:30
26.0,Vanderlei de Lima,Brazil,1:03:36
27.0,Abdi Djama,France,1:03:45
28.0,Peter Weilenmann,United States,1:03:47
29.0,Dagne Debela,Ethiopia,1:03:48
30.0,Luca Barzaghi,Italy,1:03:48
31.0,Antonio Rodrigues,Portugal,1:03:56
32.0,Focus Willbroad,Tanzania,1:03:57
33.0,Bob Kempainen,United States,1:03:58
34.0,Klaus-Peter Hansen,Denmark,1:04:00
35.0,Andrea Arlati,Italy,1:04:09
36.0,Steffen Dittmann,Germany,1:04:11
37.0,Takeo Nakahara,Japan,1:04:11
38.0,Joseph LeMay,United States,1:04:11
39.0,Juan Antonio Crespo,Spain,1:04:12
40.0,Lemma Bonsa,Ethiopia,1:04:14
41.0,Carsten Jørgensen,Denmark,1:04:21
42.0,Valeriy Fedotov,Russia,1:04:24
43.0,Sid-Ali Sakhri,Algeria,1:04:26
44.0,Martin McLoughlin,Great Britain,1:04:27
45.0,Santtu Mäkinen,Finland,1:04:28
46.0,Daniel Held,United States,1:04:30
47.0,Kidane Gebrmichael,Ethiopia,1:04:35
48.0,Daniel Böltz,Switzerland,1:04:38
49.0,Bertrand Frechard,France,1:04:39
50.0,Aleksey Korobov,Russia,1:04:47
51.0,David Taylor,Great Britain,1:04:49
52.0,Viktor Chumakov,Belarus,1:04:50
53.0,Kaare Sørensen,Denmark,1:04:51
54.0,Harri Hänninen,Finland,1:04:52
55.0,Mahieddine Belhadj,Algeria,1:04:54
56.0,Rene Godlieb,Netherlands,1:05:04
57.0,Sergey Romanchuk,Ukraine,1:05:05
58.0,Gerard Kappert,Netherlands,1:05:07
59.0,Kingston Maringe,Zimbabwe,1:05:12
60.0,Abel Chimukoko,Zimbabwe,1:05:15
61.0,Arlindo Macedo,Portugal,1:05:19
62.0,Yann Millon,France,1:05:20
63.0,Andres Espinosa,Mexico,1:05:20
64.0,Luboš Šubrt,Czech Republic,1:05:21
65.0,Motori Choloo,Tanzania,1:05:21
